1ibtC2.pdb1	1ibtD1.pdb1	138.25
1ibtC2.pdb1	1ibtD2.pdb1	3133.25
1ibtC2.pdb1	1ibtB2.pdb1	795.4
1ibtD1.pdb1	1ibtD2.pdb1	198.15
1ibtD1.pdb1	1ibtC1.pdb1	3133.25
1ibtD2.pdb1	1ibtC1.pdb1	138.2
1ibtD2.pdb1	1ibtB2.pdb1	331.8
1ib1H1.pdb2	1ib1G1.pdb2	491.45
1ib1H1.pdb2	1ib1D1.pdb2	1359.7
1ib1H1.pdb2	1ib1C1.pdb2	88.9
1ib1G1.pdb2	1ib1D1.pdb2	44.1
1ib1G1.pdb2	1ib1C1.pdb2	1378.05
1ib1D1.pdb2	1ib1C1.pdb2	906.1
3ib9A2.pdb1	3ib9B3.pdb1	83.55
3ib9A2.pdb1	3ib9B1.pdb1	52.5
3ib9A2.pdb1	3ib9B2.pdb1	4708.0
3ib9A2.pdb1	3ib9A3.pdb1	1376.15
3ib9A2.pdb1	3ib9A1.pdb1	1376.15
3ib9B3.pdb1	3ib9B1.pdb1	1387.1
3ib9B3.pdb1	3ib9B2.pdb1	1387.1
3ib9B3.pdb1	3ib9A3.pdb1	4707.9
3ib9B3.pdb1	3ib9A1.pdb1	52.45
3ib9B1.pdb1	3ib9B2.pdb1	1387.1
3ib9B1.pdb1	3ib9A3.pdb1	83.5
3ib9B1.pdb1	3ib9A1.pdb1	4707.9
3ib9B2.pdb1	3ib9A3.pdb1	52.45
3ib9B2.pdb1	3ib9A1.pdb1	83.5
3ib9A3.pdb1	3ib9A1.pdb1	1376.1
5ibzA1.pdb1	5ibzD1.pdb1	454.45
5ibzA1.pdb1	5ibzC1.pdb1	3462.85
5ibzA1.pdb1	5ibzB1.pdb1	1062.95
5ibzD1.pdb1	5ibzC1.pdb1	1069.75
5ibzD1.pdb1	5ibzB1.pdb1	3516.4
5ibzC1.pdb1	5ibzB1.pdb1	459.4
1ibgL2.pdb2	1ibgH1.pdb2	176.1
1ibgL2.pdb2	1ibgH2.pdb2	1828.6
1ibgL2.pdb2	1ibgL1.pdb2	268.1
1ibgH1.pdb2	1ibgH2.pdb2	302.55
1ibgH1.pdb2	1ibgL1.pdb2	1828.65
1ibgH2.pdb2	1ibgL1.pdb2	176.1
2ib5H1.pdb1	2ib5F1.pdb1	20.4
2ib5H1.pdb1	2ib5B1.pdb1	156.1
2ib5H1.pdb1	2ib5G1.pdb1	1064.45
2ib5H1.pdb1	2ib5E1.pdb1	1727.1
2ib5F1.pdb1	2ib5D1.pdb1	69.65
2ib5F1.pdb1	2ib5G1.pdb1	1721.6
2ib5F1.pdb1	2ib5E1.pdb1	1059.1
2ib5A1.pdb1	2ib5D1.pdb1	1715.55
2ib5A1.pdb1	2ib5B1.pdb1	1033.8
2ib5A1.pdb1	2ib5C1.pdb1	20.45
2ib5A1.pdb1	2ib5G1.pdb1	102.2
2ib5D1.pdb1	2ib5B1.pdb1	18.05
2ib5D1.pdb1	2ib5C1.pdb1	1072.05
2ib5D1.pdb1	2ib5E1.pdb1	13.4
2ib5B1.pdb1	2ib5C1.pdb1	1740.1
2ib5B1.pdb1	2ib5G1.pdb1	10.25
2ib5B1.pdb1	2ib5E1.pdb1	356.25
2ib5C1.pdb1	2ib5E1.pdb1	126.45
2ib5G1.pdb1	2ib5E1.pdb1	21.8
3ib6A1.pdb1	3ib6D1.pdb1	164.8
3ib6A1.pdb1	3ib6B1.pdb1	525.4
3ib6A1.pdb1	3ib6C1.pdb1	875.4
3ib6D1.pdb1	3ib6B1.pdb1	1017.4
3ib6D1.pdb1	3ib6C1.pdb1	478.65
3ib6B1.pdb1	3ib6C1.pdb1	156.05
4ib9A1.pdb1	4ib9A2.pdb1	473.4
5iblL1.pdb2	5iblE1.pdb2	57.75
5iblF1.pdb2	5iblD1.pdb2	261.3
5iblF1.pdb2	5iblC1.pdb2	515.05
5iblF1.pdb2	5iblE1.pdb2	1267.1
5iblD1.pdb2	5iblC1.pdb2	1816.9
1ibuC1.pdb1	1ibuE1.pdb1	505.55
1ibuC1.pdb1	1ibuD1.pdb1	2994.75
1ibuC1.pdb1	1ibuD2.pdb1	139.5
1ibuC1.pdb1	1ibuF1.pdb1	126.25
1ibuC1.pdb1	1ibuB1.pdb1	443.4
1ibuC1.pdb1	1ibuA1.pdb1	504.7
1ibuE1.pdb1	1ibuD1.pdb1	543.8
1ibuE1.pdb1	1ibuF1.pdb1	3024.15
1ibuE1.pdb1	1ibuB1.pdb1	129.95
1ibuE1.pdb1	1ibuA1.pdb1	512.35
1ibuE1.pdb1	1ibuB2.pdb1	138.1
1ibuD1.pdb1	1ibuD2.pdb1	200.9
1ibuD1.pdb1	1ibuF1.pdb1	329.3
1ibuD1.pdb1	1ibuB1.pdb1	318.2
1ibuD1.pdb1	1ibuA1.pdb1	128.15
1ibuD1.pdb1	1ibuC2.pdb1	139.5
1ibuD2.pdb1	1ibuE2.pdb1	543.85
1ibuD2.pdb1	1ibuF2.pdb1	329.4
1ibuD2.pdb1	1ibuC2.pdb1	2994.8
1ibuD2.pdb1	1ibuB2.pdb1	318.15
1ibuD2.pdb1	1ibuA2.pdb1	128.1
1ibuF1.pdb1	1ibuB1.pdb1	333.7
1ibuF1.pdb1	1ibuA1.pdb1	455.2
1ibuF1.pdb1	1ibuB2.pdb1	192.6
1ibuF1.pdb1	1ibuA2.pdb1	143.1
1ibuB1.pdb1	1ibuA1.pdb1	2935.8
1ibuB1.pdb1	1ibuE2.pdb1	138.15
1ibuB1.pdb1	1ibuF2.pdb1	192.65
1ibuA1.pdb1	1ibuF2.pdb1	143.15
1ibuE2.pdb1	1ibuF2.pdb1	3024.2
1ibuE2.pdb1	1ibuC2.pdb1	505.55
1ibuE2.pdb1	1ibuB2.pdb1	129.9
1ibuE2.pdb1	1ibuA2.pdb1	512.3
1ibuF2.pdb1	1ibuC2.pdb1	126.25
1ibuF2.pdb1	1ibuB2.pdb1	333.75
1ibuF2.pdb1	1ibuA2.pdb1	455.15
1ibuC2.pdb1	1ibuB2.pdb1	443.35
1ibuC2.pdb1	1ibuA2.pdb1	504.65
1ibuB2.pdb1	1ibuA2.pdb1	2935.7
2ibgE1.pdb2	2ibgB1.pdb2	603.45
5ib2B1.pdb1	5ib2A1.pdb1	1273.5
5ib2C1.pdb1	5ib2A1.pdb1	1108.25
4ib8A2.pdb1	4ib8A1.pdb1	490.2
4ib6A2.pdb1	4ib6A1.pdb1	472.4
5ibkD1.pdb2	5ibkF1.pdb2	714.05
5ibkD1.pdb2	5ibkE1.pdb2	1448.1
5ibkF1.pdb2	5ibkE1.pdb2	164.65
1ibrB1.pdb1	1ibrA1.pdb1	1685.2
6ibrA1.pdb1	6ibrB1.pdb1	949.45
6ib8A1.pdb1	6ib8B1.pdb1	1616.95
6ib8A1.pdb1	6ib8C1.pdb1	654.8
2ib6A1.pdb3	2ib6G1.pdb3	84.3
2ib6A1.pdb3	2ib6F1.pdb3	1.85
2ib6A1.pdb3	2ib6B1.pdb3	1040.55
2ib6A1.pdb3	2ib6C1.pdb3	21.5
2ib6A1.pdb3	2ib6D1.pdb3	1723.35
2ib6G1.pdb3	2ib6F1.pdb3	1709.6
2ib6G1.pdb3	2ib6B1.pdb3	19.85
2ib6G1.pdb3	2ib6H1.pdb3	1066.95
2ib6F1.pdb3	2ib6H1.pdb3	21.6
2ib6F1.pdb3	2ib6D1.pdb3	77.3
2ib6B1.pdb3	2ib6H1.pdb3	144.95
2ib6B1.pdb3	2ib6C1.pdb3	1725.85
2ib6B1.pdb3	2ib6D1.pdb3	20.65
2ib6C1.pdb3	2ib6D1.pdb3	1076.0
3ibjB1.pdb1	3ibjA1.pdb1	3951.45
1ibcA1.pdb1	1ibcA2.pdb1	269.8
1ibcA1.pdb1	1ibcB1.pdb1	2575.7
1ibcA1.pdb1	1ibcB2.pdb1	573.6
1ibcA1.pdb1	1ibcC1.pdb1	108.65
1ibcA2.pdb1	1ibcC2.pdb1	108.65
1ibcA2.pdb1	1ibcB1.pdb1	573.6
1ibcA2.pdb1	1ibcB2.pdb1	2575.7
1ibcC2.pdb1	1ibcB2.pdb1	354.95
1ibcB1.pdb1	1ibcB2.pdb1	1327.0
1ibcB1.pdb1	1ibcC1.pdb1	354.95
4ib3A1.pdb1	4ib3S1.pdb1	983.55
3ibhA1.pdb1	3ibhA2.pdb1	1701.05
3ibfA1.pdb1	3ibfB1.pdb1	2171.65
3ibfA1.pdb1	3ibfD1.pdb1	359.5
3ibfA1.pdb1	3ibfC1.pdb1	290.85
3ibfB1.pdb1	3ibfD1.pdb1	1302.5
3ibfB1.pdb1	3ibfC1.pdb1	484.7
3ibfD1.pdb1	3ibfC1.pdb1	2371.9
3ibcF1.pdb1	3ibcD1.pdb1	385.95
3ibcF1.pdb1	3ibcC1.pdb1	150.7
3ibcE1.pdb1	3ibcA1.pdb1	149.65
3ibcE1.pdb1	3ibcB1.pdb1	384.9
3ibcA1.pdb1	3ibcD1.pdb1	357.3
3ibcA1.pdb1	3ibcB1.pdb1	2201.15
3ibcA1.pdb1	3ibcC1.pdb1	297.8
3ibcD1.pdb1	3ibcB1.pdb1	1334.1
3ibcD1.pdb1	3ibcC1.pdb1	2182.1
3ibcB1.pdb1	3ibcC1.pdb1	353.2
1ibrC1.pdb2	1ibrD1.pdb2	1696.65
1ibgL1.pdb1	1ibgH1.pdb1	1828.65
5ibuL1.pdb2	5ibuH1.pdb2	1694.25
6iblA1.pdb1	6iblC1.pdb1	1204.95
6ib7A2.pdb1	6ib7A1.pdb1	1522.8
5ib0A1.pdb1	5ib0B1.pdb1	2324.75
2ib0A1.pdb2	2ib0A2.pdb2	281.0
2ib0A1.pdb2	2ib0B4.pdb2	660.0
2ib0A1.pdb2	2ib0B3.pdb2	367.35
2ib0A2.pdb2	2ib0B4.pdb2	367.35
2ib0A2.pdb2	2ib0B3.pdb2	660.0
3ibgC1.pdb2	3ibgD1.pdb2	1257.55
2ibiB1.pdb1	2ibiA1.pdb1	1923.7
1ibzC5.pdb4	1ibzD1.pdb4	370.5
1ibzC5.pdb4	1ibzB5.pdb4	944.4
1ibzC5.pdb4	1ibzA5.pdb4	888.25
1ibzC5.pdb4	1ibzD3.pdb4	168.75
