5l5zR1.pdb1	5l5zP1.pdb1	118.95
5l5zR1.pdb1	5l5zY1.pdb1	442.05
5l5zR1.pdb1	5l5zS1.pdb1	1045.6
5l5zM1.pdb1	5l5zN1.pdb1	638.05
5l5zM1.pdb1	5l5zL1.pdb1	978.15
5l5zN1.pdb1	5l5zG1.pdb1	462.45
5l5zN1.pdb1	5l5za1.pdb1	1351.0
5l5zT1.pdb1	5l5zP1.pdb1	149.4
5l5zT1.pdb1	5l5zS1.pdb1	1337.45
5l5zT1.pdb1	5l5za1.pdb1	451.95
5l5zP1.pdb1	5l5zS1.pdb1	134.4
5l5zG1.pdb1	5l5zA1.pdb1	1408.45
5l5zG1.pdb1	5l5za1.pdb1	72.05
5l5zS1.pdb1	5l5za1.pdb1	599.05
5l5zD1.pdb1	5l5zA1.pdb1	25.95
5l5zD1.pdb1	5l5zL1.pdb1	533.1
4l5oA1.pdb1	4l5oB1.pdb1	1258.15
5l5gD1.pdb2	5l5gB1.pdb2	415.3
5l5lA2.pdb2	5l5lB1.pdb2	600.7
4l5jB1.pdb2	4l5jC1.pdb2	1607.15
4l5jB1.pdb2	4l5jC2.pdb2	413.9
4l5jB1.pdb2	4l5jA1.pdb2	771.0
4l5jC1.pdb2	4l5jB2.pdb2	413.95
4l5jC1.pdb2	4l5jD1.pdb2	774.45
4l5jB2.pdb2	4l5jA2.pdb2	771.0
4l5jB2.pdb2	4l5jC2.pdb2	1607.15
4l5jA2.pdb2	4l5jD1.pdb2	429.25
4l5jA2.pdb2	4l5jD2.pdb2	1657.05
4l5jD1.pdb2	4l5jA1.pdb2	1657.05
4l5jC2.pdb2	4l5jD2.pdb2	774.45
4l5jD2.pdb2	4l5jA1.pdb2	429.25
4l5tA1.pdb3	4l5tD1.pdb3	1683.0
1l5zA1.pdb1	1l5zA2.pdb1	926.4
5l5kA1.pdb1	5l5kA2.pdb1	552.1
5l5eS1.pdb1	5l5ea1.pdb1	584.7
5l5eS1.pdb1	5l5eZ1.pdb1	359.3
5l5eS1.pdb1	5l5eO1.pdb1	61.65
5l5eS1.pdb1	5l5eT1.pdb1	1333.2
5l5eS1.pdb1	5l5eR1.pdb1	1025.1
5l5eS1.pdb1	5l5eP1.pdb1	134.15
5l5eI1.pdb1	5l5eA1.pdb1	528.65
5l5eI1.pdb1	5l5eY1.pdb1	976.1
5l5eI1.pdb1	5l5eJ1.pdb1	575.0
5l5eI1.pdb1	5l5eZ1.pdb1	716.1
5l5eI1.pdb1	5l5eH1.pdb1	1661.1
5l5eI1.pdb1	5l5eB1.pdb1	475.3
5l5eQ1.pdb1	5l5eX1.pdb1	400.35
5l5eQ1.pdb1	5l5eY1.pdb1	329.9
5l5eQ1.pdb1	5l5eO1.pdb1	88.75
5l5eQ1.pdb1	5l5eR1.pdb1	1303.4
5l5eQ1.pdb1	5l5eP1.pdb1	1539.95
5l5eF1.pdb1	5l5eA1.pdb1	151.5
5l5eF1.pdb1	5l5eE1.pdb1	1332.85
5l5eF1.pdb1	5l5eN1.pdb1	474.05
5l5eF1.pdb1	5l5eM1.pdb1	458.1
5l5eF1.pdb1	5l5eB1.pdb1	141.65
5l5eF1.pdb1	5l5eG1.pdb1	1382.35
5l5eK1.pdb1	5l5eX1.pdb1	798.25
5l5eK1.pdb1	5l5eV1.pdb1	94.75
5l5eK1.pdb1	5l5eJ1.pdb1	648.2
5l5eK1.pdb1	5l5eL1.pdb1	726.85
5l5eK1.pdb1	5l5eD1.pdb1	396.95
5l5eK1.pdb1	5l5eW1.pdb1	979.9
5l5eK1.pdb1	5l5eC1.pdb1	338.2
5l5eX1.pdb1	5l5eY1.pdb1	654.75
5l5eX1.pdb1	5l5eJ1.pdb1	747.55
5l5eX1.pdb1	5l5eW1.pdb1	567.65
5l5eX1.pdb1	5l5eP1.pdb1	548.1
5l5ea1.pdb1	5l5eZ1.pdb1	966.15
5l5ea1.pdb1	5l5eN1.pdb1	1377.4
5l5ea1.pdb1	5l5eT1.pdb1	451.55
5l5ea1.pdb1	5l5eH1.pdb1	916.6
5l5ea1.pdb1	5l5eb1.pdb1	642.0
5l5ea1.pdb1	5l5eG1.pdb1	68.95
5l5eA1.pdb1	5l5eE1.pdb1	63.95
5l5eA1.pdb1	5l5eD1.pdb1	26.25
5l5eA1.pdb1	5l5eH1.pdb1	637.85
5l5eA1.pdb1	5l5eB1.pdb1	1353.15
5l5eA1.pdb1	5l5eG1.pdb1	1403.15
5l5eA1.pdb1	5l5eC1.pdb1	87.7
5l5eV1.pdb1	5l5eU1.pdb1	640.85
5l5eV1.pdb1	5l5eL1.pdb1	1484.3
5l5eV1.pdb1	5l5eO1.pdb1	644.85
5l5eV1.pdb1	5l5eM1.pdb1	925.35
5l5eV1.pdb1	5l5eW1.pdb1	1656.9
5l5eV1.pdb1	5l5eP1.pdb1	274.65
5l5eV1.pdb1	5l5eb1.pdb1	501.8
5l5eY1.pdb1	5l5eJ1.pdb1	798.05
5l5eY1.pdb1	5l5eZ1.pdb1	735.2
5l5eY1.pdb1	5l5eR1.pdb1	396.3
5l5eY1.pdb1	5l5eH1.pdb1	92.35
5l5eE1.pdb1	5l5eL1.pdb1	362.7
5l5eE1.pdb1	5l5eD1.pdb1	1019.5
5l5eE1.pdb1	5l5eM1.pdb1	580.35
5l5eE1.pdb1	5l5eB1.pdb1	136.75
5l5eJ1.pdb1	5l5eB1.pdb1	547.1
5l5eJ1.pdb1	5l5eC1.pdb1	404.9
5l5eU1.pdb1	5l5eO1.pdb1	1414.4
5l5eU1.pdb1	5l5eT1.pdb1	1381.5
