1ht5B1.pdb1	1ht5A1.pdb1	2479.8
2ht4A1.pdb1	2ht4B1.pdb1	3477.45
2ht4F1.pdb1	2ht4E1.pdb1	1831.45
2ht4F1.pdb1	2ht4B1.pdb1	139.3
2ht4E1.pdb1	2ht4B1.pdb1	457.3
2ht4D1.pdb1	2ht4C1.pdb1	1816.15
2ht4D1.pdb1	2ht4B1.pdb1	35.25
2ht4C1.pdb1	2ht4B1.pdb1	119.35
2htqA4.pdb1	2htqA2.pdb1	1717.0
2htqA4.pdb1	2htqA1.pdb1	1717.0
2htqA4.pdb1	2htqA3.pdb1	46.3
2htqA2.pdb1	2htqA1.pdb1	46.3
2htqA2.pdb1	2htqA3.pdb1	1717.0
2htqA1.pdb1	2htqA3.pdb1	1717.0
2htuA1.pdb1	2htuA4.pdb1	1684.4
2htuA1.pdb1	2htuA2.pdb1	42.7
2htuA1.pdb1	2htuA3.pdb1	1684.4
2htuA4.pdb1	2htuA2.pdb1	1684.4
2htuA4.pdb1	2htuA3.pdb1	42.7
2htuA2.pdb1	2htuA3.pdb1	1684.4
4ht3B2.pdb2	4ht3A3.pdb2	351.35
4ht3B2.pdb2	4ht3B1.pdb2	1677.2
4ht3B2.pdb2	4ht3A4.pdb2	0.55
4ht3A3.pdb2	4ht3B1.pdb2	0.55
4ht3B1.pdb2	4ht3A4.pdb2	351.35
3htvA2.pdb1	3htvA1.pdb1	994.8
4htlA1.pdb1	4htlA2.pdb1	1826.5
3htqB3.pdb1	3htqA1.pdb1	417.85
3htqB3.pdb1	3htqB1.pdb1	1304.0
3htqB3.pdb1	3htqB2.pdb1	1303.25
3htqB3.pdb1	3htqA2.pdb1	276.05
3htqB3.pdb1	3htqA3.pdb1	2683.05
3htqA1.pdb1	3htqB1.pdb1	2688.55
3htqA1.pdb1	3htqB2.pdb1	275.45
3htqA1.pdb1	3htqA2.pdb1	414.3
3htqA1.pdb1	3htqA3.pdb1	418.05
3htqB1.pdb1	3htqB2.pdb1	1303.9
3htqB1.pdb1	3htqA2.pdb1	415.9
3htqB1.pdb1	3htqA3.pdb1	276.2
3htqB2.pdb1	3htqA2.pdb1	2686.65
3htqB2.pdb1	3htqA3.pdb1	414.95
3htqA2.pdb1	3htqA3.pdb1	415.4
1ht9B1.pdb1	1ht9A1.pdb1	1937.6
2ht5A3.pdb1	2ht5A2.pdb1	1703.7
2ht5A3.pdb1	2ht5A1.pdb1	1703.7
2ht5A3.pdb1	2ht5A4.pdb1	30.2
2ht5A2.pdb1	2ht5A1.pdb1	30.2
2ht5A2.pdb1	2ht5A4.pdb1	1703.7
2ht5A1.pdb1	2ht5A4.pdb1	1703.7
1ht1Z1.pdb1	1ht1B1.pdb1	660.45
1ht1Z1.pdb1	1ht1A1.pdb1	465.65
1ht1Z1.pdb1	1ht1Z2.pdb1	10.3
1ht1Z1.pdb1	1ht1Y3.pdb1	669.1
1ht1Z1.pdb1	1ht1Z3.pdb1	10.3
1ht1Z1.pdb1	1ht1Y1.pdb1	439.95
1ht1Z1.pdb1	1ht1G1.pdb1	187.35
1ht1B3.pdb1	1ht1F3.pdb1	263.6
1ht1B3.pdb1	1ht1A3.pdb1	488.7
1ht1B3.pdb1	1ht1A2.pdb1	627.95
1ht1B3.pdb1	1ht1Z3.pdb1	660.45
1ht1B3.pdb1	1ht1Y2.pdb1	462.25
1ht1I3.pdb1	1ht1G3.pdb1	2354.45
1ht1I3.pdb1	1ht1I2.pdb1	8.2
1ht1I3.pdb1	1ht1I1.pdb1	8.25
1ht1I3.pdb1	1ht1Y3.pdb1	293.75
1ht1I3.pdb1	1ht1G1.pdb1	2007.7
1ht1F3.pdb1	1ht1E3.pdb1	2103.25
1ht1F3.pdb1	1ht1E1.pdb1	0.3
1ht1F3.pdb1	1ht1F1.pdb1	9.0
1ht1F3.pdb1	1ht1E2.pdb1	2293.85
1ht1F3.pdb1	1ht1F2.pdb1	9.0
1ht1A3.pdb1	1ht1E3.pdb1	242.5
1ht1A3.pdb1	1ht1B1.pdb1	627.9
1ht1A3.pdb1	1ht1A2.pdb1	6.85
1ht1A3.pdb1	1ht1A1.pdb1	6.8
1ht1A3.pdb1	1ht1Y3.pdb1	609.65
1ht1A3.pdb1	1ht1Z3.pdb1	465.65
1ht1G3.pdb1	1ht1G2.pdb1	4.75
1ht1G3.pdb1	1ht1I2.pdb1	2007.75
1ht1G3.pdb1	1ht1Z3.pdb1	187.35
1ht1G3.pdb1	1ht1G1.pdb1	4.75
