1xkbD2.pdb3	1xkbB2.pdb3	861.6
1xkbD2.pdb3	1xkbC1.pdb3	200.9
1xkbD2.pdb3	1xkbA1.pdb3	793.8
1xkbC1.pdb3	1xkbA1.pdb3	858.8
1xkaL1.pdb1	1xkaC1.pdb1	938.8
4xkhC1.pdb2	4xkhD1.pdb2	331.0
4xkhC1.pdb2	4xkhB1.pdb2	722.9
4xkhD1.pdb2	4xkhB1.pdb2	88.9
2xk5B1.pdb1	2xk5A1.pdb1	392.05
1xklC1.pdb1	1xklB1.pdb1	586.65
1xklC1.pdb1	1xklD1.pdb1	846.35
1xklB1.pdb1	1xklA1.pdb1	867.95
5xkjA1.pdb1	5xkjC1.pdb1	1556.0
5xkjA1.pdb1	5xkjE1.pdb1	833.05
5xkjC1.pdb1	5xkjE1.pdb1	702.35
4xkhH1.pdb3	4xkhI1.pdb3	316.75
4xkhH1.pdb3	4xkhG1.pdb3	735.45
4xkhI1.pdb3	4xkhG1.pdb3	92.9
1xkoB1.pdb1	1xkoA1.pdb1	1318.6
1xkzC1.pdb2	1xkzD1.pdb2	430.95
2xklA1.pdb1	2xklA2.pdb1	581.0
5xkcD1.pdb1	5xkcC1.pdb1	3213.05
5xkcD1.pdb1	5xkcA1.pdb1	69.05
5xkcD1.pdb1	5xkcB1.pdb1	927.25
5xkcC1.pdb1	5xkcA1.pdb1	944.6
5xkcC1.pdb1	5xkcB1.pdb1	76.6
5xkcA1.pdb1	5xkcB1.pdb1	3174.6
4xklD1.pdb2	4xklC1.pdb2	539.8
5xktA1.pdb1	5xktB1.pdb1	1277.15
5xk2B2.pdb1	5xk2A1.pdb1	1112.15
4xkmC1.pdb2	4xkmD1.pdb2	1377.3
4xkmC1.pdb2	4xkmF1.pdb2	3965.95
4xkmC1.pdb2	4xkmE1.pdb2	1965.7
4xkmD1.pdb2	4xkmF1.pdb2	1960.0
4xkmD1.pdb2	4xkmE1.pdb2	4022.15
4xkmF1.pdb2	4xkmE1.pdb2	1400.05
4xkhF1.pdb1	4xkhE1.pdb1	335.25
4xkhF1.pdb1	4xkhA1.pdb1	87.2
4xkhE1.pdb1	4xkhA1.pdb1	769.9
4xkeB1.pdb1	4xkeE1.pdb1	297.5
4xkeB1.pdb1	4xkeC1.pdb1	262.8
4xkeB1.pdb1	4xkeD1.pdb1	1270.65
4xkeB1.pdb1	4xkeA1.pdb1	2656.65
4xkeB1.pdb1	4xkeF1.pdb1	1182.25
4xkeE1.pdb1	4xkeC1.pdb1	432.4
4xkeE1.pdb1	4xkeD1.pdb1	277.5
4xkeE1.pdb1	4xkeA1.pdb1	467.85
4xkeE1.pdb1	4xkeF1.pdb1	2613.7
4xkeC1.pdb1	4xkeD1.pdb1	2648.9
4xkeC1.pdb1	4xkeA1.pdb1	437.7
4xkeC1.pdb1	4xkeF1.pdb1	321.75
4xkeD1.pdb1	4xkeA1.pdb1	298.05
4xkeD1.pdb1	4xkeF1.pdb1	1214.0
4xkeA1.pdb1	4xkeF1.pdb1	272.45
2xkpB1.pdb1	2xkpA1.pdb1	2107.65
1xkyD1.pdb1	1xkyA1.pdb1	870.95
1xkyD1.pdb1	1xkyC1.pdb1	1381.45
1xkyA1.pdb1	1xkyB1.pdb1	1377.15
1xkyC1.pdb1	1xkyB1.pdb1	890.4
2xkoD1.pdb1	2xkoA1.pdb1	767.2
2xkoD1.pdb1	2xkoB1.pdb1	413.6
2xkoA1.pdb1	2xkoB1.pdb1	2123.1
2xkoA1.pdb1	2xkoC1.pdb1	410.35
2xkoB1.pdb1	2xkoC1.pdb1	767.4
1xk4L1.pdb3	1xk4J1.pdb3	1428.95
1xk4L1.pdb3	1xk4K1.pdb3	102.95
1xk4L1.pdb3	1xk4I1.pdb3	428.35
1xk4J1.pdb3	1xk4K1.pdb3	441.15
1xk4J1.pdb3	1xk4I1.pdb3	332.3
1xk4K1.pdb3	1xk4I1.pdb3	1458.45
5xkgF1.pdb1	5xkgA1.pdb1	778.9
5xkgF1.pdb1	5xkgB1.pdb1	426.8
5xkgA1.pdb1	5xkgE1.pdb1	1536.35
5xkgA1.pdb1	5xkgB1.pdb1	1315.2
5xkgD1.pdb1	5xkgE1.pdb1	656.55
5xkgD1.pdb1	5xkgC1.pdb1	1381.95
5xkgE1.pdb1	5xkgB1.pdb1	648.4
5xkgE1.pdb1	5xkgC1.pdb1	766.4
5xkgB1.pdb1	5xkgC1.pdb1	857.2
5xkpC1.pdb2	5xkpD1.pdb2	1084.25
4xk9A1.pdb1	4xk9E1.pdb1	1308.3
4xk9A1.pdb1	4xk9B1.pdb1	1261.3
4xk9C1.pdb1	4xk9B1.pdb1	1269.65
4xk9C1.pdb1	4xk9D1.pdb1	1233.9
4xk9E1.pdb1	4xk9D1.pdb1	1205.95
2xkxB1.pdb1	2xkxA1.pdb1	12619.3
2xknD1.pdb1	2xknC1.pdb1	1576.75
1xk4C1.pdb1	1xk4B1.pdb1	432.65
1xk4C1.pdb1	1xk4A1.pdb1	1375.65
1xk4C1.pdb1	1xk4D1.pdb1	83.5
1xk4B1.pdb1	1xk4A1.pdb1	335.7
1xk4B1.pdb1	1xk4D1.pdb1	1412.3
1xk4A1.pdb1	1xk4D1.pdb1	424.05
2xkqF1.pdb1	2xkqD1.pdb1	420.8
2xkqF1.pdb1	2xkqB1.pdb1	521.0
2xkqF1.pdb1	2xkqH1.pdb1	1127.5
2xkqF1.pdb1	2xkqJ1.pdb1	536.8
2xkqF1.pdb1	2xkqK1.pdb1	412.9
2xkqD1.pdb1	2xkqG1.pdb1	541.0
2xkqD1.pdb1	2xkqB1.pdb1	1118.05
2xkqD1.pdb1	2xkqK1.pdb1	401.85
2xkqD1.pdb1	2xkqI1.pdb1	544.2
2xkqC1.pdb1	2xkqH1.pdb1	420.95
2xkqC1.pdb1	2xkqA1.pdb1	1127.6
2xkqC1.pdb1	2xkqJ1.pdb1	408.85
2xkqC1.pdb1	2xkqE1.pdb1	558.75
2xkqC1.pdb1	2xkqL1.pdb1	538.15
2xkqG1.pdb1	2xkqB1.pdb1	408.35
2xkqG1.pdb1	2xkqE1.pdb1	1115.2
2xkqG1.pdb1	2xkqL1.pdb1	422.15
2xkqG1.pdb1	2xkqI1.pdb1	540.95
2xkqB1.pdb1	2xkqJ1.pdb1	538.15
2xkqB1.pdb1	2xkqL1.pdb1	414.95
2xkqH1.pdb1	2xkqA1.pdb1	543.95
2xkqH1.pdb1	2xkqJ1.pdb1	406.5
2xkqH1.pdb1	2xkqK1.pdb1	542.35
2xkqA1.pdb1	2xkqK1.pdb1	534.8
2xkqA1.pdb1	2xkqE1.pdb1	423.45
2xkqA1.pdb1	2xkqI1.pdb1	422.6
2xkqJ1.pdb1	2xkqL1.pdb1	1143.65
2xkqK1.pdb1	2xkqI1.pdb1	1101.35
2xkqE1.pdb1	2xkqL1.pdb1	549.5
2xkqE1.pdb1	2xkqI1.pdb1	418.4
1xk7A1.pdb1	1xk7A2.pdb1	5559.1
1xkbA1.pdb4	1xkbC1.pdb4	858.8
1xkbD2.pdb4	1xkbC1.pdb4	67.05
1xkbD2.pdb4	1xkbB2.pdb4	861.55
1xkbC1.pdb4	1xkbB2.pdb4	778.1
4xkmH1.pdb1	4xkmA1.pdb1	1370.7
4xkmH1.pdb1	4xkmB1.pdb1	4013.2
4xkmH1.pdb1	4xkmG1.pdb1	1959.25
4xkmA1.pdb1	4xkmB1.pdb1	1967.45
4xkmA1.pdb1	4xkmG1.pdb1	3967.6
4xkmB1.pdb1	4xkmG1.pdb1	1372.25
1xkdB1.pdb1	1xkdA1.pdb1	3173.7
5xkrC1.pdb2	5xkrD1.pdb2	1108.7
5xksB1.pdb7	5xksE1.pdb7	97.7
5xksB1.pdb7	5xksA1.pdb7	249.95
5xksE1.pdb7	5xksA1.pdb7	169.25
5xksE1.pdb7	5xksD1.pdb7	402.4
5xksF1.pdb7	5xksA1.pdb7	373.55
5xksF1.pdb7	5xksC1.pdb7	152.9
5xksD1.pdb7	5xksC1.pdb7	159.1
4xkyA1.pdb1	4xkyC1.pdb1	1018.8
4xkyA1.pdb1	4xkyB1.pdb1	1017.0
4xkyC1.pdb1	4xkyD1.pdb1	1157.6
4xkyD1.pdb1	4xkyB1.pdb1	1035.95
2xkpF1.pdb3	2xkpC1.pdb3	1265.3
4xkvA3.pdb1	4xkvA2.pdb1	3479.4
4xkvA3.pdb1	4xkvA1.pdb1	3479.35
4xkvA2.pdb1	4xkvA1.pdb1	3479.45
5xkfD1.pdb1	5xkfC1.pdb1	1440.95
5xkfD1.pdb1	5xkfE1.pdb1	711.4
5xkfC1.pdb1	5xkfE1.pdb1	808.95
5xkfC1.pdb1	5xkfB1.pdb1	869.05
5xkfA1.pdb1	5xkfE1.pdb1	1500.7
5xkfA1.pdb1	5xkfF1.pdb1	794.05
5xkfA1.pdb1	5xkfB1.pdb1	1409.5
5xkfE1.pdb1	5xkfB1.pdb1	696.25
5xkfF1.pdb1	5xkfB1.pdb1	454.9
1xk4F1.pdb2	1xk4E1.pdb2	329.05
1xk4F1.pdb2	1xk4G1.pdb2	440.35
1xk4F1.pdb2	1xk4H1.pdb2	1374.75
1xk4E1.pdb2	1xk4G1.pdb2	1419.15
1xk4E1.pdb2	1xk4H1.pdb2	427.6
1xk4G1.pdb2	1xk4H1.pdb2	88.8
5xkmA1.pdb1	5xkmE1.pdb1	1422.45
5xkqC1.pdb2	5xkqD1.pdb2	1043.65
5xkjB1.pdb2	5xkjF1.pdb2	831.4
5xkjB1.pdb2	5xkjD1.pdb2	1511.1
5xkjF1.pdb2	5xkjD1.pdb2	651.45
5xkiA1.pdb1	5xkiB1.pdb1	1957.95
1xkbD1.pdb2	1xkbB1.pdb2	861.55
5xk3D1.pdb2	5xk3C1.pdb2	1785.9
2xkmA9.pdb1	2xkmA3.pdb1	709.55
2xkmA9.pdb1	2xkmA31.pdb1	1.4
2xkmA9.pdb1	2xkmA20.pdb1	608.2
2xkmA9.pdb1	2xkmA4.pdb1	307.95
2xkmA9.pdb1	2xkmA15.pdb1	709.5
2xkmA9.pdb1	2xkmA26.pdb1	209.8
2xkmA9.pdb1	2xkmA10.pdb1	6.65
2xkmA9.pdb1	2xkmA14.pdb1	307.95
2xkmA9.pdb1	2xkmA8.pdb1	6.6
2xkmA35.pdb1	2xkmA18.pdb1	209.75
2xkmA35.pdb1	2xkmA34.pdb1	6.65
2xkmA35.pdb1	2xkmA24.pdb1	608.2
2xkmA35.pdb1	2xkmA30.pdb1	307.9
2xkmA35.pdb1	2xkmA13.pdb1	1.4
2xkmA35.pdb1	2xkmA29.pdb1	709.45
2xkmA3.pdb1	2xkmA20.pdb1	209.8
2xkmA3.pdb1	2xkmA4.pdb1	6.7
2xkmA3.pdb1	2xkmA2.pdb1	6.65
2xkmA3.pdb1	2xkmA14.pdb1	608.25
2xkmA3.pdb1	2xkmA8.pdb1	308.0
2xkmA3.pdb1	2xkmA25.pdb1	1.4
2xkmA31.pdb1	2xkmA20.pdb1	608.25
2xkmA31.pdb1	2xkmA32.pdb1	6.65
2xkmA31.pdb1	2xkmA30.pdb1	6.65
2xkmA31.pdb1	2xkmA26.pdb1	308.0
2xkmA31.pdb1	2xkmA14.pdb1	209.85
2xkmA31.pdb1	2xkmA25.pdb1	709.5
2xkmA28.pdb1	2xkmA33.pdb1	307.9
2xkmA28.pdb1	2xkmA27.pdb1	6.6
2xkmA28.pdb1	2xkmA34.pdb1	709.45
2xkmA28.pdb1	2xkmA22.pdb1	709.45
2xkmA28.pdb1	2xkmA23.pdb1	307.9
2xkmA28.pdb1	2xkmA17.pdb1	608.2
