6c2sX1.pdb2	6c2sY1.pdb2	1010.05
6c2sX1.pdb2	6c2sC1.pdb2	456.35
6c2sY1.pdb2	6c2sC1.pdb2	379.8
2c2vF1.pdb2	2c2vE1.pdb2	719.15
2c2vL1.pdb2	2c2vK1.pdb2	735.2
2c2vK1.pdb2	2c2vV1.pdb2	558.05
2c2vU1.pdb2	2c2vE1.pdb2	592.1
2c2vU1.pdb2	2c2vV1.pdb2	684.25
6c23E1.pdb1	6c23Q1.pdb1	305.5
6c23E1.pdb1	6c23A1.pdb1	398.25
6c23E1.pdb1	6c23P1.pdb1	226.4
6c23E1.pdb1	6c23C1.pdb1	38.05
6c23Q1.pdb1	6c23A1.pdb1	986.05
6c23Q1.pdb1	6c23N1.pdb1	1533.05
6c23Q1.pdb1	6c23P1.pdb1	669.7
6c23Q1.pdb1	6c23Z1.pdb1	2.45
6c23L1.pdb1	6c23A1.pdb1	195.5
6c23L1.pdb1	6c23N1.pdb1	26.05
6c23L1.pdb1	6c23P1.pdb1	41.8
6c23L1.pdb1	6c23B1.pdb1	291.05
6c23L1.pdb1	6c23K1.pdb1	78.5
6c23L1.pdb1	6c23C1.pdb1	3392.2
6c23L1.pdb1	6c23M1.pdb1	602.75
6c23A1.pdb1	6c23N1.pdb1	1455.65
6c23A1.pdb1	6c23P1.pdb1	386.45
6c23A1.pdb1	6c23K1.pdb1	6.65
6c23A1.pdb1	6c23C1.pdb1	111.25
6c23A1.pdb1	6c23M1.pdb1	418.05
6c23O1.pdb1	6c23K1.pdb1	620.25
6c23N1.pdb1	6c23P1.pdb1	1182.9
6c23N1.pdb1	6c23Z1.pdb1	148.7
6c23N1.pdb1	6c23K1.pdb1	0.35
6c23N1.pdb1	6c23C1.pdb1	35.35
6c23N1.pdb1	6c23M1.pdb1	45.35
6c23P1.pdb1	6c23Z1.pdb1	299.15
6c23P1.pdb1	6c23K1.pdb1	64.75
6c23P1.pdb1	6c23C1.pdb1	315.75
6c23B1.pdb1	6c23C1.pdb1	138.25
6c23K1.pdb1	6c23C1.pdb1	1234.65
6c23K1.pdb1	6c23M1.pdb1	2544.85
6c23C1.pdb1	6c23M1.pdb1	416.45
1c2bA3.pdb1	1c2bA1.pdb1	230.75
