5trrV1.pdb1	5trrL1.pdb1	453.85
5trrV1.pdb1	5trrb1.pdb1	477.85
5trrP1.pdb1	5trrX1.pdb1	397.75
5trrL1.pdb1	5trrE1.pdb1	628.15
5trrL1.pdb1	5trrb1.pdb1	715.5
3tr5A1.pdb1	3tr5B1.pdb1	1317.45
3tr5C1.pdb1	3tr5D1.pdb1	596.6
3tr5B1.pdb1	3tr5D1.pdb1	91.85
2trsB1.pdb1	2trsA1.pdb1	1289.75
2trsB1.pdb1	2trsB2.pdb1	1543.4
2trsA2.pdb1	2trsB2.pdb1	1289.75
2trtA1.pdb1	2trtA2.pdb1	2640.4
5trfC1.pdb8	5trfC2.pdb8	578.8
3trrB1.pdb1	3trrA1.pdb1	1363.6
3trrB1.pdb1	3trrC1.pdb1	1386.95
3trrA1.pdb1	3trrC1.pdb1	1398.1
4trqF1.pdb1	4trqE1.pdb1	2087.45
4trqE1.pdb1	4trqC1.pdb1	27.85
4trqE1.pdb1	4trqD1.pdb1	2284.5
4trqE1.pdb1	4trqA1.pdb1	34.5
4trqE1.pdb1	4trqB1.pdb1	898.05
4trqC1.pdb1	4trqB1.pdb1	2242.05
4trqD1.pdb1	4trqB1.pdb1	14.95
4trqA1.pdb1	4trqB1.pdb1	2281.8
3trtA1.pdb1	3trtB1.pdb1	1725.35
3trnA3.pdb1	3trnA2.pdb1	1104.7
3trnA3.pdb1	3trnA1.pdb1	1104.7
3trnA2.pdb1	3trnA1.pdb1	1104.7
4trwF1.pdb3	4trwC1.pdb3	270.9
5tr4A1.pdb1	5tr4B1.pdb1	1553.4
4trgB1.pdb1	4trgA1.pdb1	2378.75
3tr4C1.pdb1	3tr4B1.pdb1	684.6
3tr4C1.pdb1	3tr4A1.pdb1	694.3
3tr4C1.pdb1	3tr4E1.pdb1	96.25
3tr4C1.pdb1	3tr4F1.pdb1	606.65
3tr4B1.pdb1	3tr4A1.pdb1	622.9
3tr4B1.pdb1	3tr4E1.pdb1	666.9
3tr4B1.pdb1	3tr4D1.pdb1	114.2
3tr4A1.pdb1	3tr4F1.pdb1	116.15
3tr4A1.pdb1	3tr4D1.pdb1	593.9
3tr4E1.pdb1	3tr4F1.pdb1	647.75
3tr4E1.pdb1	3tr4D1.pdb1	696.6
3tr4F1.pdb1	3tr4D1.pdb1	727.3
2trcB1.pdb1	2trcG1.pdb1	2541.2
2trcB1.pdb1	2trcP1.pdb1	2213.3
2trcG1.pdb1	2trcP1.pdb1	3.4
3trrE1.pdb2	3trrF1.pdb2	1405.2
3trrE1.pdb2	3trrD1.pdb2	1357.4
3trrF1.pdb2	3trrD1.pdb2	1369.55
3trqA2.pdb2	3trqA1.pdb2	2327.0
5trul1.pdb2	5truh1.pdb2	1571.7
5trul1.pdb2	5truc1.pdb2	375.5
5truh1.pdb2	5truc1.pdb2	572.05
1trgA1.pdb1	1trgA2.pdb1	2308.4
1trzA1.pdb6	1trzD1.pdb6	62.5
1trzA1.pdb6	1trzB1.pdb6	803.5
1trzC1.pdb6	1trzD1.pdb6	593.05
1trzC1.pdb6	1trzB1.pdb6	24.95
1trzD1.pdb6	1trzB1.pdb6	624.55
3trjB1.pdb1	3trjA1.pdb1	619.65
3trjB1.pdb1	3trjC1.pdb1	1650.05
3trjB1.pdb1	3trjD1.pdb1	986.5
3trjA1.pdb1	3trjC1.pdb1	945.05
3trjA1.pdb1	3trjD1.pdb1	1676.85
3trjC1.pdb1	3trjD1.pdb1	643.15
1trkB1.pdb1	1trkA1.pdb1	4480.95
1trzA3.pdb4	1trzB3.pdb4	803.45
1trzA3.pdb4	1trzC5.pdb4	18.95
1trzA3.pdb4	1trzD6.pdb4	89.95
1trzB3.pdb4	1trzC6.pdb4	12.35
1trzB3.pdb4	1trzC5.pdb4	35.65
1trzB3.pdb4	1trzD6.pdb4	85.9
1trzB3.pdb4	1trzB1.pdb4	68.65
1trzB3.pdb4	1trzB2.pdb4	68.7
1trzC6.pdb4	1trzA1.pdb4	19.0
1trzC6.pdb4	1trzD6.pdb4	593.1
1trzC6.pdb4	1trzD4.pdb4	137.05
1trzC6.pdb4	1trzB1.pdb4	35.7
1trzA1.pdb4	1trzD4.pdb4	90.05
1trzA1.pdb4	1trzB1.pdb4	803.5
1trzC5.pdb4	1trzD6.pdb4	137.0
1trzC5.pdb4	1trzD5.pdb4	593.1
1trzC5.pdb4	1trzB2.pdb4	12.3
1trzD6.pdb4	1trzD4.pdb4	136.25
1trzD6.pdb4	1trzD5.pdb4	136.3
1trzD4.pdb4	1trzB1.pdb4	85.9
1trzD4.pdb4	1trzD5.pdb4	136.3
1trzD4.pdb4	1trzC4.pdb4	593.05
1trzB1.pdb4	1trzB2.pdb4	68.7
1trzB1.pdb4	1trzC4.pdb4	12.3
1trzD5.pdb4	1trzA2.pdb4	90.05
1trzD5.pdb4	1trzB2.pdb4	85.95
1trzD5.pdb4	1trzC4.pdb4	137.05
1trzA2.pdb4	1trzB2.pdb4	803.55
1trzA2.pdb4	1trzC4.pdb4	18.95
1trzB2.pdb4	1trzC4.pdb4	35.7
3truD1.pdb1	3truC1.pdb1	510.45
3truD1.pdb1	3truA1.pdb1	72.4
3truD1.pdb1	3truB1.pdb1	49.3
3truC1.pdb1	3truA1.pdb1	299.85
3truA1.pdb1	3truB1.pdb1	781.85
5trbA1.pdb1	5trbA2.pdb1	916.2
3trhD1.pdb1	3trhC1.pdb1	577.0
3trhD1.pdb1	3trhB1.pdb1	1578.85
3trhD1.pdb1	3trhF1.pdb1	603.6
3trhD1.pdb1	3trhA1.pdb1	1064.75
3trhC1.pdb1	3trhI1.pdb1	1049.9
3trhC1.pdb1	3trhE1.pdb1	603.2
3trhC1.pdb1	3trhA1.pdb1	1584.45
3trhB1.pdb1	3trhK1.pdb1	587.5
3trhB1.pdb1	3trhF1.pdb1	1035.3
3trhB1.pdb1	3trhA1.pdb1	595.9
3trhK1.pdb1	3trhI1.pdb1	593.2
3trhK1.pdb1	3trhF1.pdb1	1573.15
3trhK1.pdb1	3trhE1.pdb1	1051.45
3trhI1.pdb1	3trhE1.pdb1	1561.65
3trhI1.pdb1	3trhA1.pdb1	594.95
3trhF1.pdb1	3trhE1.pdb1	591.9
4trzF1.pdb3	4trzC1.pdb3	282.05
4trrA1.pdb1	4trrC1.pdb1	83.0
4trrA1.pdb1	4trrD1.pdb1	1243.25
4trrA1.pdb1	4trrB1.pdb1	1591.75
4trrC1.pdb1	4trrD1.pdb1	1571.75
4trrC1.pdb1	4trrB1.pdb1	1247.7
4trrD1.pdb1	4trrB1.pdb1	91.95
4tr9H1.pdb1	4tr9A1.pdb1	375.2
4tr9K1.pdb1	4tr9D1.pdb1	380.15
4tr9I1.pdb1	4tr9B1.pdb1	385.0
4tr9C1.pdb1	4tr9A1.pdb1	98.35
4tr9C1.pdb1	4tr9D1.pdb1	1426.85
4tr9C1.pdb1	4tr9B1.pdb1	1290.7
4tr9C1.pdb1	4tr9G1.pdb1	182.15
4tr9C1.pdb1	4tr9J1.pdb1	382.45
4tr9A1.pdb1	4tr9D1.pdb1	1298.65
4tr9A1.pdb1	4tr9B1.pdb1	1444.85
4tr9A1.pdb1	4tr9E1.pdb1	290.25
4tr9D1.pdb1	4tr9B1.pdb1	91.7
4tr9D1.pdb1	4tr9E1.pdb1	93.05
4tr9B1.pdb1	4tr9G1.pdb1	341.0
4trbA1.pdb1	4trbB1.pdb1	1852.0
1tr8A2.pdb1	1tr8B1.pdb1	1126.45
1tr8A2.pdb1	1tr8B2.pdb1	652.5
1tr8A2.pdb1	1tr8A1.pdb1	256.4
1tr8B1.pdb1	1tr8B2.pdb1	148.9
1tr8B1.pdb1	1tr8A1.pdb1	652.5
1tr8B2.pdb1	1tr8A1.pdb1	1126.45
5trfA2.pdb6	5trfA1.pdb6	516.55
4tr8A1.pdb1	4tr8B1.pdb1	1172.5
1trzB1.pdb1	1trzA1.pdb1	800.0
4trmA1.pdb1	4trmA2.pdb1	625.1
4trmA1.pdb1	4trmB1.pdb1	1491.5
4trmA1.pdb1	4trmB2.pdb1	1434.45
4trmA2.pdb1	4trmB1.pdb1	1434.45
4trmA2.pdb1	4trmB2.pdb1	1491.5
4trmB1.pdb1	4trmB2.pdb1	535.6
3trfA2.pdb1	3trfA1.pdb1	2049.8
5trpL1.pdb1	5trpH1.pdb1	1810.0
5troA1.pdb1	5troB1.pdb1	1768.5
4trfC1.pdb1	4trfA1.pdb1	1096.55
4trfC1.pdb1	4trfB1.pdb1	1048.2
4trfA1.pdb1	4trfB1.pdb1	1130.6
1tr0G1.pdb1	1tr0F1.pdb1	477.15
1tr0G1.pdb1	1tr0H1.pdb1	1607.6
1tr0G1.pdb1	1tr0E1.pdb1	520.0
1tr0G1.pdb1	1tr0I1.pdb1	523.45
1tr0G1.pdb1	1tr0J1.pdb1	95.65
1tr0B1.pdb1	1tr0C1.pdb1	481.4
1tr0B1.pdb1	1tr0A1.pdb1	1606.75
1tr0B1.pdb1	1tr0L1.pdb1	530.55
1tr0B1.pdb1	1tr0D1.pdb1	509.9
1tr0B1.pdb1	1tr0K1.pdb1	95.65
1tr0F1.pdb1	1tr0C1.pdb1	95.2
1tr0F1.pdb1	1tr0H1.pdb1	520.75
1tr0F1.pdb1	1tr0E1.pdb1	1606.2
1tr0F1.pdb1	1tr0D1.pdb1	521.1
1tr0C1.pdb1	1tr0A1.pdb1	515.45
1tr0C1.pdb1	1tr0E1.pdb1	521.55
1tr0C1.pdb1	1tr0D1.pdb1	1601.95
1tr0A1.pdb1	1tr0L1.pdb1	481.5
1tr0A1.pdb1	1tr0D1.pdb1	94.5
1tr0A1.pdb1	1tr0K1.pdb1	528.5
1tr0L1.pdb1	1tr0I1.pdb1	92.0
1tr0L1.pdb1	1tr0K1.pdb1	1606.7
1tr0L1.pdb1	1tr0J1.pdb1	525.9
