1wpwA1.pdb2	1wpwB1.pdb2	1812.3
1wpwA2.pdb2	1wpwB1.pdb2	264.25
2wpbB1.pdb1	2wpbC1.pdb1	1168.1
2wpbB1.pdb1	2wpbD1.pdb1	1020.65
2wpbA1.pdb1	2wpbC1.pdb1	1025.85
2wpbA1.pdb1	2wpbD1.pdb1	1177.2
5wpnA22.pdb1	5wpnA13.pdb1	750.8
5wpnA22.pdb1	5wpnA3.pdb1	1569.7
5wpnA22.pdb1	5wpnA5.pdb1	559.5
5wpnA22.pdb1	5wpnA21.pdb1	26.7
5wpnA22.pdb1	5wpnA6.pdb1	560.25
5wpnA22.pdb1	5wpnA19.pdb1	751.5
5wpnA17.pdb1	5wpnA23.pdb1	751.5
5wpnA17.pdb1	5wpnA18.pdb1	27.1
5wpnA17.pdb1	5wpnA10.pdb1	559.45
5wpnA17.pdb1	5wpnA14.pdb1	750.35
5wpnA17.pdb1	5wpnA9.pdb1	560.25
5wpnA17.pdb1	5wpnA7.pdb1	1568.2
5wpnA16.pdb1	5wpnA2.pdb1	560.05
5wpnA16.pdb1	5wpnA24.pdb1	750.8
5wpnA16.pdb1	5wpnA1.pdb1	560.05
5wpnA16.pdb1	5wpnA20.pdb1	750.4
5wpnA16.pdb1	5wpnA11.pdb1	1569.65
5wpnA16.pdb1	5wpnA15.pdb1	27.6
5wpnA2.pdb1	5wpnA1.pdb1	27.6
5wpnA2.pdb1	5wpnA5.pdb1	750.4
5wpnA2.pdb1	5wpnA11.pdb1	750.8
5wpnA2.pdb1	5wpnA21.pdb1	1569.65
5wpnA2.pdb1	5wpnA15.pdb1	560.05
5wpnA23.pdb1	5wpnA24.pdb1	26.7
5wpnA23.pdb1	5wpnA8.pdb1	560.25
5wpnA23.pdb1	5wpnA14.pdb1	750.8
5wpnA23.pdb1	5wpnA7.pdb1	559.5
5wpnA23.pdb1	5wpnA4.pdb1	1569.65
5wpnA18.pdb1	5wpnA10.pdb1	560.25
5wpnA18.pdb1	5wpnA9.pdb1	559.5
5wpnA18.pdb1	5wpnA21.pdb1	751.5
5wpnA18.pdb1	5wpnA15.pdb1	750.4
5wpnA18.pdb1	5wpnA6.pdb1	1568.2
5wpnA24.pdb1	5wpnA1.pdb1	1569.65
5wpnA24.pdb1	5wpnA8.pdb1	559.45
5wpnA24.pdb1	5wpnA20.pdb1	751.5
5wpnA24.pdb1	5wpnA7.pdb1	560.25
5wpnA13.pdb1	5wpnA12.pdb1	1569.65
