3nwrA2.pdb1	3nwrA1.pdb1	3358.4
4nw9F1.pdb1	4nw9J1.pdb1	52.25
4nw9F1.pdb1	4nw9E1.pdb1	181.45
4nw9G1.pdb1	4nw9C1.pdb1	118.9
4nw9G1.pdb1	4nw9H1.pdb1	177.25
4nw9G1.pdb1	4nw9E1.pdb1	57.5
4nw9G1.pdb1	4nw9B1.pdb1	52.0
4nw9K1.pdb1	4nw9C1.pdb1	54.0
4nw9K1.pdb1	4nw9J1.pdb1	189.6
4nw9K1.pdb1	4nw9H1.pdb1	56.55
4nw9C1.pdb1	4nw9H1.pdb1	57.75
4nw9C1.pdb1	4nw9B1.pdb1	180.65
4nw9J1.pdb1	4nw9H1.pdb1	111.7
4nw9E1.pdb1	4nw9B1.pdb1	53.75
