3nwrA2.pdb1	3nwrA1.pdb1	3358.4
4nwoB7.pdb1	4nwoB2.pdb1	903.15
4nwoA12.pdb1	4nwoA11.pdb1	692.7
4nwoA9.pdb1	4nwoB9.pdb1	555.45
4nwoA2.pdb1	4nwoA3.pdb1	692.7
4nwoA2.pdb1	4nwoB2.pdb1	559.25
4nwoB10.pdb1	4nwoB9.pdb1	903.2
4nwoB3.pdb1	4nwoA3.pdb1	555.45
4nwoB3.pdb1	4nwoB4.pdb1	903.25
4nwoB3.pdb1	4nwoB11.pdb1	902.85
4nwoB8.pdb1	4nwoB6.pdb1	902.85
4nwoB8.pdb1	4nwoB1.pdb1	903.1
4nwoA11.pdb1	4nwoB11.pdb1	559.25
4nwoA5.pdb1	4nwoA4.pdb1	691.6
4nwoA5.pdb1	4nwoA6.pdb1	692.7
4nwoA4.pdb1	4nwoB4.pdb1	558.1
4nwoA4.pdb1	4nwoA6.pdb1	692.65
4nwoB4.pdb1	4nwoB11.pdb1	903.15
4nwoB6.pdb1	4nwoA6.pdb1	555.45
4nwoB6.pdb1	4nwoB1.pdb1	903.2
1nwgA1.pdb1	1nwgB1.pdb1	586.7
5nweD1.pdb1	5nweB1.pdb1	17.05
5nweD1.pdb1	5nweC1.pdb1	1537.05
5nweD1.pdb1	5nweA1.pdb1	1518.0
5nweB1.pdb1	5nweC1.pdb1	1532.45
5nweB1.pdb1	5nweA1.pdb1	1543.6
5nweC1.pdb1	5nweA1.pdb1	13.9
1nwgD1.pdb2	1nwgC1.pdb2	638.1
2nwxA1.pdb1	2nwxC1.pdb1	1067.3
2nwxA1.pdb1	2nwxB1.pdb1	1055.05
2nwxC1.pdb1	2nwxB1.pdb1	1065.85
1nwnB1.pdb1	1nwnA1.pdb1	886.8
6nwwA1.pdb1	6nwwB1.pdb1	797.3
5nw2K1.pdb4	5nw2J1.pdb4	1107.35
5nw2K1.pdb4	5nw2L1.pdb4	985.25
5nw2J1.pdb4	5nw2L1.pdb4	184.6
5nwbD1.pdb2	5nwbB1.pdb2	2994.65
3nwkB1.pdb4	3nwkD1.pdb4	1127.25
2nwaD1.pdb1	2nwaC1.pdb1	554.7
2nwaD1.pdb1	2nwaA1.pdb1	162.9
2nwaD1.pdb1	2nwaB1.pdb1	268.45
2nwaC1.pdb1	2nwaA1.pdb1	273.75
2nwaC1.pdb1	2nwaB1.pdb1	167.05
2nwaA1.pdb1	2nwaB1.pdb1	545.6
3nwkC1.pdb1	3nwkC2.pdb1	1018.1
3nwkC1.pdb1	3nwkA1.pdb1	1107.8
3nwkC2.pdb1	3nwkA2.pdb1	1107.8
3nwkA2.pdb1	3nwkA1.pdb1	956.6
2nwrA1.pdb1	2nwrB2.pdb1	1361.75
2nwrA1.pdb1	2nwrA2.pdb1	190.6
2nwrA1.pdb1	2nwrB1.pdb1	1736.75
2nwrB2.pdb1	2nwrA2.pdb1	1736.85
2nwrB2.pdb1	2nwrB1.pdb1	194.7
2nwrA2.pdb1	2nwrB1.pdb1	1361.8
