5utzJ1.pdb4	5utzK1.pdb4	1721.3
5utzI1.pdb4	5utzK1.pdb4	353.25
3utzA1.pdb1	3utzB1.pdb1	1728.35
5utfL1.pdb1	5utfH1.pdb1	1907.1
5utfL1.pdb1	5utfG1.pdb1	338.9
5utfE2.pdb1	5utfB2.pdb1	94.35
5utfE2.pdb1	5utfD2.pdb1	1666.25
5utfD1.pdb1	5utfB1.pdb1	372.15
5utfD1.pdb1	5utfE1.pdb1	1666.25
5utfD1.pdb1	5utfG1.pdb1	322.65
5utfD3.pdb1	5utfE3.pdb1	1666.15
5utfD3.pdb1	5utfB3.pdb1	372.15
5utfD3.pdb1	5utfG3.pdb1	322.7
5utfL3.pdb1	5utfH3.pdb1	1907.1
5utfL3.pdb1	5utfG3.pdb1	338.85
5utfB1.pdb1	5utfB2.pdb1	869.85
5utfB1.pdb1	5utfB3.pdb1	869.9
5utfB1.pdb1	5utfG2.pdb1	120.95
5utfB1.pdb1	5utfE1.pdb1	94.35
5utfB1.pdb1	5utfG1.pdb1	2472.85
5utfE3.pdb1	5utfB3.pdb1	94.4
5utfB2.pdb1	5utfB3.pdb1	869.85
5utfB2.pdb1	5utfG2.pdb1	2472.85
5utfB2.pdb1	5utfD2.pdb1	372.1
5utfB2.pdb1	5utfG3.pdb1	120.95
5utfB3.pdb1	5utfG1.pdb1	120.95
5utfB3.pdb1	5utfG3.pdb1	2473.0
5utfH2.pdb1	5utfG2.pdb1	249.4
5utfH2.pdb1	5utfL2.pdb1	1907.1
5utfH3.pdb1	5utfG3.pdb1	249.45
5utfG2.pdb1	5utfD2.pdb1	322.65
5utfG2.pdb1	5utfL2.pdb1	338.9
5utfG2.pdb1	5utfG1.pdb1	411.7
5utfG2.pdb1	5utfG3.pdb1	411.7
5utfH1.pdb1	5utfG1.pdb1	249.4
5utfG1.pdb1	5utfG3.pdb1	411.7
3ut4B1.pdb1	3ut4A1.pdb1	1001.55
5uthA2.pdb1	5uthA1.pdb1	2412.4
3utwA2.pdb2	3utwA1.pdb2	817.8
4utwB2.pdb3	4utwC1.pdb3	1625.8
1ut2I1.pdb2	1ut2D1.pdb2	635.55
1ut2I1.pdb2	1ut2E1.pdb2	652.1
1ut2D1.pdb2	1ut2E1.pdb2	650.55
4utaI1.pdb1	4utaM1.pdb1	1729.65
4utaI1.pdb1	4utaB1.pdb1	47.2
4utaM1.pdb1	4utaB1.pdb1	171.0
4utnD1.pdb1	4utnA1.pdb1	371.1
4utwA1.pdb1	4utwD1.pdb1	1598.95
3uttA1.pdb1	3uttE1.pdb1	371.45
3uttA1.pdb1	3uttD1.pdb1	194.25
3uttA1.pdb1	3uttB1.pdb1	1261.3
3uttA1.pdb1	3uttC1.pdb1	746.95
3uttE1.pdb1	3uttD1.pdb1	2321.6
3uttE1.pdb1	3uttC1.pdb1	119.4
3uttD1.pdb1	3uttC1.pdb1	170.7
4utxC1.pdb1	4utxA1.pdb1	466.5
3utuI1.pdb1	3utuH1.pdb1	423.25
3utuH1.pdb1	3utuL1.pdb1	1027.7
3utbH1.pdb1	3utbF1.pdb1	480.95
3utbH1.pdb1	3utbI1.pdb1	311.65
3utbH1.pdb1	3utbD1.pdb1	6.6
3utbH1.pdb1	3utbC1.pdb1	54.45
