3ghqC1.pdb1	3ghqB1.pdb1	512.35
3ghqC1.pdb1	3ghqA1.pdb1	555.5
3ghqC1.pdb1	3ghqC2.pdb1	60.2
3ghqE1.pdb1	3ghqI1.pdb1	555.45
3ghqG1.pdb1	3ghqB1.pdb1	561.55
3ghqG1.pdb1	3ghqE2.pdb1	515.7
3ghqB1.pdb1	3ghqA1.pdb1	898.45
3ghqA1.pdb1	3ghqC2.pdb1	558.4
3ghqK2.pdb1	3ghqB2.pdb1	64.55
3ghqK2.pdb1	3ghqF2.pdb1	515.1
3ghqB2.pdb1	3ghqC2.pdb1	512.35
3ghqE2.pdb1	3ghqF2.pdb1	897.75
4ghwB1.pdb1	4ghwA1.pdb1	556.05
5ghaH1.pdb2	5ghaD1.pdb2	998.7
5ghaC1.pdb2	5ghaD1.pdb2	1220.75
5ghaC1.pdb2	5ghaG1.pdb2	985.75
1gh7B1.pdb1	1gh7A1.pdb1	5053.45
1ghyI1.pdb2	1ghyH1.pdb2	569.6
1ghyH1.pdb2	1ghyL1.pdb2	1357.9
1ghyH1.pdb2	1ghyH2.pdb2	4.55
1ghyL1.pdb2	1ghyL2.pdb2	252.5
1ghyH2.pdb2	1ghyL2.pdb2	1357.9
1ghyH2.pdb2	1ghyI2.pdb2	569.6
1ghbE2.pdb2	1ghbF3.pdb2	102.25
1ghbE2.pdb2	1ghbG4.pdb2	88.55
1ghbE2.pdb2	1ghbF4.pdb2	65.0
1ghbP3.pdb2	1ghbP4.pdb2	63.5
1ghbP3.pdb2	1ghbF3.pdb2	59.2
1ghbP3.pdb2	1ghbG4.pdb2	52.8
1ghbP3.pdb2	1ghbG3.pdb2	145.6
1ghbP3.pdb2	1ghbF4.pdb2	73.25
1ghbE1.pdb2	1ghbF3.pdb2	65.0
1ghbE1.pdb2	1ghbG3.pdb2	88.55
1ghbE1.pdb2	1ghbF4.pdb2	102.25
1ghbP4.pdb2	1ghbF3.pdb2	73.25
