5e4nB1.pdb1	5e4nB2.pdb1	979.8
5e4nB1.pdb1	5e4nA1.pdb1	1699.95
6e4uC1.pdb2	6e4uB1.pdb2	1118.35
6e4uC1.pdb2	6e4uA1.pdb2	391.55
6e4uA2.pdb2	6e4uC2.pdb2	391.55
6e4uA2.pdb2	6e4uB1.pdb2	612.95
6e4uA2.pdb2	6e4uB2.pdb2	2725.6
6e4uA2.pdb2	6e4uA1.pdb2	375.1
6e4uC2.pdb2	6e4uB2.pdb2	1118.3
6e4uB1.pdb2	6e4uA1.pdb2	2725.65
6e4uB2.pdb2	6e4uA1.pdb2	612.95
4e41F1.pdb2	4e41G1.pdb2	2434.15
4e41F1.pdb2	4e41H1.pdb2	658.6
4e41F1.pdb2	4e41I1.pdb2	132.4
4e41F1.pdb2	4e41J1.pdb2	184.05
4e41G1.pdb2	4e41H1.pdb2	583.5
4e41G1.pdb2	4e41I1.pdb2	406.9
4e41G1.pdb2	4e41J1.pdb2	164.1
4e41H1.pdb2	4e41I1.pdb2	227.7
4e41H1.pdb2	4e41J1.pdb2	176.15
4e41I1.pdb2	4e41J1.pdb2	2178.2
6e4pK1.pdb2	6e4pB1.pdb2	187.3
1e4eA1.pdb1	1e4eB1.pdb1	1473.4
1e4eA1.pdb1	1e4eB2.pdb1	529.95
1e4eA1.pdb1	1e4eA2.pdb1	121.95
1e4eB1.pdb1	1e4eB2.pdb1	557.75
1e4eB1.pdb1	1e4eA2.pdb1	529.95
1e4eB2.pdb1	1e4eA2.pdb1	1473.5
2e4aC1.pdb2	2e4aD1.pdb2	1641.3
4e4kA1.pdb1	4e4kB1.pdb1	844.85
2e4vB1.pdb1	2e4vA1.pdb1	667.2
4e45J1.pdb2	4e45H1.pdb2	1157.2
4e45J1.pdb2	4e45I1.pdb2	1274.95
4e45J1.pdb2	4e45F1.pdb2	1174.0
4e45J1.pdb2	4e45G1.pdb2	923.6
4e45H1.pdb2	4e45I1.pdb2	2258.8
4e45H1.pdb2	4e45F1.pdb2	569.65
4e45H1.pdb2	4e45G1.pdb2	12.75
4e45I1.pdb2	4e45G1.pdb2	136.15
4e45F1.pdb2	4e45G1.pdb2	2287.8
5e4dA1.pdb1	5e4dB1.pdb1	1868.5
4e4oA1.pdb1	4e4oB1.pdb1	326.05
2e46A2.pdb1	2e46A1.pdb1	1175.9
3e4dE1.pdb3	3e4dF1.pdb3	1017.7
2e42A1.pdb1	2e42C1.pdb1	399.55
2e42A1.pdb1	2e42D1.pdb1	350.4
2e42A1.pdb1	2e42B1.pdb1	975.55
2e42C1.pdb1	2e42D1.pdb1	660.3
2e42C1.pdb1	2e42B1.pdb1	370.3
2e42D1.pdb1	2e42B1.pdb1	322.0
6e4bC1.pdb2	6e4bD1.pdb2	838.8
