6ms3A1.pdb1	6ms3B1.pdb1	1032.45
4ms2B1.pdb1	4ms2C1.pdb1	10.75
4ms2B1.pdb1	4ms2D1.pdb1	1503.95
4ms2B1.pdb1	4ms2A1.pdb1	1509.4
4ms2C1.pdb1	4ms2D1.pdb1	1510.65
4ms2C1.pdb1	4ms2A1.pdb1	1496.5
4ms2D1.pdb1	4ms2A1.pdb1	10.3
3msqC2.pdb5	3msqC1.pdb5	1124.3
6mstG1.pdb1	6mstD1.pdb1	113.0
6mstG1.pdb1	6mstC1.pdb1	170.75
6mstG1.pdb1	6mstH1.pdb1	207.8
6mstG1.pdb1	6mstI1.pdb1	2473.8
6mstG1.pdb1	6mstE1.pdb1	2469.65
6mstG1.pdb1	6mstF1.pdb1	190.85
6mstG1.pdb1	6mstJ1.pdb1	208.35
6mstG1.pdb1	6mstL1.pdb1	191.4
6mstG1.pdb1	6mstK1.pdb1	173.55
6mstD1.pdb1	6mstC1.pdb1	209.55
6mstD1.pdb1	6mstH1.pdb1	170.3
6mstD1.pdb1	6mstA1.pdb1	206.75
6mstD1.pdb1	6mstE1.pdb1	191.8
6mstD1.pdb1	6mstF1.pdb1	2470.85
6mstD1.pdb1	6mstB1.pdb1	2469.95
6mstC1.pdb1	6mstH1.pdb1	191.9
6mstC1.pdb1	6mstA1.pdb1	2492.25
6mstC1.pdb1	6mstE1.pdb1	2468.8
6mstC1.pdb1	6mstF1.pdb1	209.0
6mstC1.pdb1	6mstJ1.pdb1	114.55
6mstC1.pdb1	6mstB1.pdb1	193.05
6mstH1.pdb1	6mstA1.pdb1	109.5
6mstH1.pdb1	6mstI1.pdb1	190.85
6mstH1.pdb1	6mstE1.pdb1	208.15
6mstH1.pdb1	6mstF1.pdb1	2475.35
6mstH1.pdb1	6mstJ1.pdb1	2472.5
6mstH1.pdb1	6mstL1.pdb1	173.85
6mstH1.pdb1	6mstK1.pdb1	113.25
6mstA1.pdb1	6mstE1.pdb1	174.1
6mstA1.pdb1	6mstF1.pdb1	187.7
6mstA1.pdb1	6mstB1.pdb1	208.05
6mstI1.pdb1	6mstE1.pdb1	171.9
6mstI1.pdb1	6mstF1.pdb1	113.05
6mstI1.pdb1	6mstJ1.pdb1	207.9
6mstI1.pdb1	6mstL1.pdb1	207.4
6mstI1.pdb1	6mstK1.pdb1	2482.9
6mstE1.pdb1	6mstF1.pdb1	208.5
6mstE1.pdb1	6mstJ1.pdb1	192.75
6mstE1.pdb1	6mstL1.pdb1	113.6
6mstE1.pdb1	6mstB1.pdb1	112.75
6mstF1.pdb1	6mstJ1.pdb1	171.45
6mstF1.pdb1	6mstB1.pdb1	169.5
6mstJ1.pdb1	6mstL1.pdb1	2479.9
6mstJ1.pdb1	6mstK1.pdb1	188.9
6mstL1.pdb1	6mstK1.pdb1	206.65
4msrA1.pdb1	4msrB1.pdb1	555.35
3mscA1.pdb1	3mscA2.pdb1	2249.65
3msqA1.pdb2	3msqA2.pdb2	1114.3
3msrA2.pdb4	3msrA1.pdb4	951.9
2mspF1.pdb2	2mspG1.pdb2	590.25
2mspF1.pdb2	2mspE1.pdb2	664.6
2mspG1.pdb2	2mspH1.pdb2	648.55
3mshA1.pdb1	3mshA2.pdb1	839.9
1ms7C1.pdb3	1ms7B2.pdb3	337.75
1ms7C1.pdb3	1ms7A2.pdb3	303.3
1ms7B2.pdb3	1ms7A2.pdb3	300.05
5msgM1.pdb1	5msgC1.pdb1	705.25
5msgM1.pdb1	5msgB1.pdb1	0.05
5msgC1.pdb1	5msgB1.pdb1	6910.1
5msgC1.pdb1	5msgR1.pdb1	404.95
5msgC1.pdb1	5msgA1.pdb1	2097.65
5msgB1.pdb1	5msgR1.pdb1	1163.55
5msgB1.pdb1	5msgV1.pdb1	563.2
5msgB1.pdb1	5msgA1.pdb1	8721.55
5msgR1.pdb1	5msgV1.pdb1	258.1
5msgR1.pdb1	5msgA1.pdb1	260.85
5msgV1.pdb1	5msgA1.pdb1	1205.25
