5j9tF1.pdb1	5j9tH1.pdb1	588.6
5j9tF1.pdb1	5j9tG1.pdb1	1652.45
5j9tH1.pdb1	5j9tG1.pdb1	2798.45
5j9tH1.pdb1	5j9tE1.pdb1	147.4
5j9tG1.pdb1	5j9tE1.pdb1	2817.35
4j9fF1.pdb3	4j9fE1.pdb3	480.0
2j9eA1.pdb1	2j9eB1.pdb1	1243.7
2j9eA1.pdb1	2j9eC1.pdb1	1192.3
2j9eB1.pdb1	2j9eC1.pdb1	1374.3
6j9eF1.pdb1	6j9eC1.pdb1	791.05
6j9eF1.pdb1	6j9eJ1.pdb1	220.9
6j9eB1.pdb1	6j9eC1.pdb1	145.95
6j9eB1.pdb1	6j9eA1.pdb1	1166.5
6j9eB1.pdb1	6j9eD1.pdb1	853.6
6j9eH1.pdb1	6j9eG1.pdb1	891.6
6j9eH1.pdb1	6j9eC1.pdb1	555.9
6j9eH1.pdb1	6j9eD1.pdb1	418.95
6j9eG1.pdb1	6j9eC1.pdb1	745.4
6j9eG1.pdb1	6j9eI1.pdb1	428.3
6j9eG1.pdb1	6j9eD1.pdb1	949.2
6j9eC1.pdb1	6j9eA1.pdb1	1328.45
6j9eC1.pdb1	6j9eJ1.pdb1	396.85
6j9eC1.pdb1	6j9eI1.pdb1	710.8
6j9eC1.pdb1	6j9eE1.pdb1	159.05
6j9eC1.pdb1	6j9eD1.pdb1	7483.15
6j9eJ1.pdb1	6j9eD1.pdb1	751.1
6j9eI1.pdb1	6j9eD1.pdb1	373.5
6j9eE1.pdb1	6j9eD1.pdb1	873.3
6j9nB1.pdb1	6j9nA1.pdb1	1043.45
4j9vA2.pdb1	4j9vB2.pdb1	809.05
4j9vA2.pdb1	4j9vA1.pdb1	820.2
4j9vB1.pdb1	4j9vB2.pdb1	1302.85
4j9vB1.pdb1	4j9vA1.pdb1	809.1
5j92D1.pdb1	5j92A1.pdb1	998.45
1j98A2.pdb1	1j98A1.pdb1	1851.7
1j9jB1.pdb4	1j9jB2.pdb4	3535.1
