1rjkC1.pdb2	1rjkA1.pdb2	535.3
1rjkC1.pdb2	1rjkA2.pdb2	173.65
1rjkA1.pdb2	1rjkA2.pdb2	471.2
1rjkA1.pdb2	1rjkC2.pdb2	173.65
1rjkA2.pdb2	1rjkC2.pdb2	535.3
4rjjD1.pdb1	4rjjC1.pdb1	3547.4
4rjjD1.pdb1	4rjjB1.pdb1	598.75
4rjjD1.pdb1	4rjjA1.pdb1	1247.95
4rjjC1.pdb1	4rjjB1.pdb1	1257.5
4rjjC1.pdb1	4rjjA1.pdb1	607.45
4rjjB1.pdb1	4rjjA1.pdb1	3557.4
3rj9C1.pdb2	3rj9D1.pdb2	2508.15
4rjjG1.pdb3	4rjjH2.pdb3	596.55
4rjjG1.pdb3	4rjjH1.pdb3	3531.95
4rjjG1.pdb3	4rjjG2.pdb3	1276.9
4rjjH2.pdb3	4rjjH1.pdb3	1276.6
4rjjH2.pdb3	4rjjG2.pdb3	3532.0
4rjjH1.pdb3	4rjjG2.pdb3	596.55
3rj9B1.pdb1	3rj9A1.pdb1	2520.45
1rjcA1.pdb1	1rjcB1.pdb1	782.95
3rjrB1.pdb1	3rjrA1.pdb1	4640.65
6rjsC1.pdb2	6rjsD1.pdb2	2340.0
6rj2A1.pdb1	6rj2B1.pdb1	2521.25
1rjxB5.pdb3	1rjxB6.pdb3	859.4
1rjxB5.pdb3	1rjxB4.pdb3	859.55
1rjxB5.pdb3	1rjxB2.pdb3	678.8
1rjxB5.pdb3	1rjxB1.pdb3	155.85
1rjxB6.pdb3	1rjxB4.pdb3	859.75
1rjxB6.pdb3	1rjxB3.pdb3	156.9
1rjxB6.pdb3	1rjxB1.pdb3	674.9
1rjxB4.pdb3	1rjxB2.pdb3	155.85
1rjxB4.pdb3	1rjxB3.pdb3	674.9
1rjxB2.pdb3	1rjxB3.pdb3	859.45
1rjxB2.pdb3	1rjxB1.pdb3	859.55
1rjxB3.pdb3	1rjxB1.pdb3	859.75
2rjgC1.pdb2	2rjgD1.pdb2	2685.55
2rjtD1.pdb2	2rjtC1.pdb2	2992.55
1rjoA1.pdb1	1rjoA2.pdb1	6599.7
6rj7B1.pdb1	6rj7A1.pdb1	941.55
1rjmC2.pdb1	1rjmA1.pdb1	405.75
1rjmC2.pdb1	1rjmB2.pdb1	1261.65
1rjmC2.pdb1	1rjmC1.pdb1	1101.45
1rjmC2.pdb1	1rjmA2.pdb1	1250.2
1rjmA1.pdb1	1rjmB2.pdb1	1058.1
1rjmA1.pdb1	1rjmC1.pdb1	1250.15
1rjmA1.pdb1	1rjmB1.pdb1	1284.5
1rjmB2.pdb1	1rjmB1.pdb1	399.6
1rjmB2.pdb1	1rjmA2.pdb1	1284.55
1rjmC1.pdb1	1rjmB1.pdb1	1261.6
1rjmC1.pdb1	1rjmA2.pdb1	405.75
1rjmB1.pdb1	1rjmA2.pdb1	1058.15
2rj1A1.pdb2	2rj1A2.pdb2	2543.3
4rjyA1.pdb1	4rjyB1.pdb1	1807.35
4rjyA1.pdb1	4rjyC1.pdb1	890.45
4rjyA1.pdb1	4rjyD1.pdb1	944.45
4rjyB1.pdb1	4rjyC1.pdb1	931.85
4rjyB1.pdb1	4rjyD1.pdb1	896.55
4rjyC1.pdb1	4rjyD1.pdb1	1816.3
6rjhS1.pdb1	6rjhR1.pdb1	587.55
6rjhS1.pdb1	6rjhQ1.pdb1	648.0
6rjhS1.pdb1	6rjhT1.pdb1	585.75
6rjhS1.pdb1	6rjhU1.pdb1	49.75
6rjhS1.pdb1	6rjhM1.pdb1	646.3
6rjhS1.pdb1	6rjhN1.pdb1	1358.65
6rjhC1.pdb1	6rjhJ1.pdb1	1356.5
6rjhC1.pdb1	6rjhL1.pdb1	647.8
6rjhC1.pdb1	6rjhH1.pdb1	587.5
6rjhC1.pdb1	6rjhA1.pdb1	48.95
6rjhC1.pdb1	6rjhB1.pdb1	585.5
6rjhC1.pdb1	6rjhD1.pdb1	649.35
6rjhJ1.pdb1	6rjhP1.pdb1	585.8
6rjhJ1.pdb1	6rjhQ1.pdb1	49.5
6rjhJ1.pdb1	6rjhL1.pdb1	587.5
6rjhJ1.pdb1	6rjhH1.pdb1	647.9
6rjhJ1.pdb1	6rjhK1.pdb1	649.4
6rjhR1.pdb1	6rjhP1.pdb1	647.8
6rjhR1.pdb1	6rjhQ1.pdb1	1356.55
6rjhR1.pdb1	6rjhT1.pdb1	49.5
6rjhR1.pdb1	6rjhU1.pdb1	585.9
6rjhR1.pdb1	6rjhO1.pdb1	649.45
6rjhI1.pdb1	6rjhH1.pdb1	1358.5
6rjhI1.pdb1	6rjhA1.pdb1	649.2
6rjhI1.pdb1	6rjhK1.pdb1	588.15
6rjhI1.pdb1	6rjhO1.pdb1	49.7
6rjhI1.pdb1	6rjhX1.pdb1	646.35
6rjhI1.pdb1	6rjhW1.pdb1	588.15
6rjhP1.pdb1	6rjhQ1.pdb1	587.45
6rjhP1.pdb1	6rjhL1.pdb1	49.7
6rjhP1.pdb1	6rjhK1.pdb1	1358.7
6rjhP1.pdb1	6rjhO1.pdb1	646.35
6rjhQ1.pdb1	6rjhL1.pdb1	585.8
6rjhQ1.pdb1	6rjhM1.pdb1	649.45
6rjhF1.pdb1	6rjhE1.pdb1	649.35
6rjhF1.pdb1	6rjhG1.pdb1	585.75
6rjhF1.pdb1	6rjhA1.pdb1	1357.1
6rjhF1.pdb1	6rjhB1.pdb1	647.85
6rjhF1.pdb1	6rjhX1.pdb1	587.5
6rjhF1.pdb1	6rjhV1.pdb1	49.35
6rjhT1.pdb1	6rjhU1.pdb1	587.45
6rjhT1.pdb1	6rjhG1.pdb1	647.8
6rjhT1.pdb1	6rjhN1.pdb1	649.35
6rjhT1.pdb1	6rjhV1.pdb1	1356.55
6rjhL1.pdb1	6rjhM1.pdb1	1358.75
6rjhL1.pdb1	6rjhD1.pdb1	646.4
6rjhE1.pdb1	6rjhG1.pdb1	1358.8
6rjhE1.pdb1	6rjhM1.pdb1	49.7
6rjhE1.pdb1	6rjhN1.pdb1	588.15
6rjhE1.pdb1	6rjhB1.pdb1	646.35
6rjhE1.pdb1	6rjhD1.pdb1	588.15
6rjhH1.pdb1	6rjhA1.pdb1	585.25
6rjhH1.pdb1	6rjhK1.pdb1	646.2
6rjhH1.pdb1	6rjhB1.pdb1	49.6
6rjhU1.pdb1	6rjhO1.pdb1	1358.6
6rjhU1.pdb1	6rjhV1.pdb1	647.95
6rjhU1.pdb1	6rjhW1.pdb1	646.25
6rjhG1.pdb1	6rjhN1.pdb1	646.4
