5a8dA5.pdb1	5a8dA18.pdb1	808.2
5a8dA5.pdb1	5a8dA12.pdb1	259.15
5a8dA5.pdb1	5a8dA10.pdb1	261.2
5a8dA5.pdb1	5a8dA22.pdb1	130.1
5a8dA11.pdb1	5a8dA7.pdb1	260.25
5a8dA11.pdb1	5a8dA24.pdb1	261.2
5a8dA11.pdb1	5a8dA2.pdb1	809.85
5a8dA11.pdb1	5a8dA21.pdb1	808.3
5a8dA11.pdb1	5a8dA20.pdb1	130.1
5a8dA1.pdb1	5a8dA7.pdb1	808.3
5a8dA1.pdb1	5a8dA4.pdb1	261.2
5a8dA1.pdb1	5a8dA21.pdb1	260.2
5a8dA7.pdb1	5a8dA24.pdb1	259.15
5a8dA7.pdb1	5a8dA13.pdb1	809.85
5a8dA7.pdb1	5a8dA21.pdb1	132.0
5a8dA17.pdb1	5a8dA16.pdb1	261.2
5a8dA17.pdb1	5a8dA3.pdb1	260.25
5a8dA17.pdb1	5a8dA12.pdb1	808.3
5a8dA18.pdb1	5a8dA4.pdb1	808.2
5a8dA18.pdb1	5a8dA9.pdb1	261.2
5a8dA18.pdb1	5a8dA10.pdb1	130.1
5a8dA24.pdb1	5a8dA13.pdb1	130.1
5a8dA24.pdb1	5a8dA20.pdb1	808.15
5a8dA2.pdb1	5a8dA9.pdb1	808.3
5a8dA2.pdb1	5a8dA6.pdb1	260.25
5a8dA2.pdb1	5a8dA20.pdb1	259.15
5a8dA4.pdb1	5a8dA9.pdb1	130.1
5a8dA4.pdb1	5a8dA21.pdb1	259.15
5a8dA16.pdb1	5a8dA3.pdb1	259.15
5a8dA16.pdb1	5a8dA6.pdb1	130.1
5a8dA16.pdb1	5a8dA20.pdb1	808.15
5a8dA3.pdb1	5a8dA12.pdb1	132.0
5a8dA3.pdb1	5a8dA6.pdb1	809.85
5a8dA3.pdb1	5a8dA10.pdb1	808.3
5a8dA12.pdb1	5a8dA10.pdb1	260.2
5a8dA12.pdb1	5a8dA22.pdb1	809.9
5a8dA9.pdb1	5a8dA21.pdb1	809.9
5a8dA6.pdb1	5a8dA20.pdb1	261.2
5a8tA3.pdb1	5a8tA1.pdb1	1274.8
5a8tA3.pdb1	5a8tA2.pdb1	1275.55
5a8tA1.pdb1	5a8tA2.pdb1	1272.0
5a8oA1.pdb1	5a8oA2.pdb1	899.6
5a8oA1.pdb1	5a8oA3.pdb1	899.35
5a8oA2.pdb1	5a8oA3.pdb1	901.4
4a8bC1.pdb1	4a8bA1.pdb1	62.1
4a8bC1.pdb1	4a8bH1.pdb1	344.05
4a8bC1.pdb1	4a8bJ1.pdb1	344.0
4a8bC1.pdb1	4a8bB1.pdb1	51.15
4a8bA1.pdb1	4a8bE1.pdb1	343.75
4a8bA1.pdb1	4a8bL1.pdb1	343.25
4a8bA1.pdb1	4a8bB1.pdb1	57.15
4a8bD1.pdb1	4a8bI1.pdb1	341.5
4a8bD1.pdb1	4a8bF1.pdb1	61.5
4a8bD1.pdb1	4a8bE1.pdb1	56.9
4a8bD1.pdb1	4a8bB1.pdb1	341.55
4a8bP1.pdb1	4a8bM1.pdb1	20.5
4a8bP1.pdb1	4a8bO1.pdb1	14.5
4a8bP1.pdb1	4a8bR1.pdb1	1.55
4a8bP1.pdb1	4a8bQ1.pdb1	42.45
4a8bI1.pdb1	4a8bG1.pdb1	63.35
4a8bI1.pdb1	4a8bO1.pdb1	9.05
4a8bI1.pdb1	4a8bH1.pdb1	51.9
4a8bI1.pdb1	4a8bB1.pdb1	341.2
4a8bK1.pdb1	4a8bF1.pdb1	341.5
4a8bK1.pdb1	4a8bG1.pdb1	341.55
4a8bK1.pdb1	4a8bL1.pdb1	50.2
4a8bK1.pdb1	4a8bJ1.pdb1	56.2
4a8bF1.pdb1	4a8bE1.pdb1	52.2
4a8bF1.pdb1	4a8bG1.pdb1	342.65
4a8bF1.pdb1	4a8bO1.pdb1	57.95
4a8bE1.pdb1	4a8bL1.pdb1	344.05
4a8bG1.pdb1	4a8bH1.pdb1	56.35
4a8bM1.pdb1	4a8bN1.pdb1	3.95
4a8bM1.pdb1	4a8bL1.pdb1	64.15
