5lnuB1.pdb1	5lnuA3.pdb1	1046.85
5lnuB1.pdb1	5lnuC1.pdb1	868.7
5lnuA3.pdb1	5lnuC3.pdb1	419.95
4ln3K1.pdb8	4ln3L1.pdb8	2988.9
5lnsC1.pdb1	5lnsD3.pdb1	1003.6
5lnsC1.pdb1	5lnsD1.pdb1	1048.15
5lnsC1.pdb1	5lnsB1.pdb1	870.4
5lnsC1.pdb1	5lnsA1.pdb1	439.3
5lnsD3.pdb1	5lnsB1.pdb1	451.55
5lnsD3.pdb1	5lnsC3.pdb1	1048.15
5lnsD3.pdb1	5lnsA3.pdb1	890.95
5lnsC2.pdb1	5lnsD2.pdb1	1048.1
5lnsC2.pdb1	5lnsD1.pdb1	1003.65
5lnsC2.pdb1	5lnsA2.pdb1	439.35
5lnsC2.pdb1	5lnsB2.pdb1	870.4
5lnsD2.pdb1	5lnsA2.pdb1	890.9
5lnsD2.pdb1	5lnsC3.pdb1	1003.65
5lnsD2.pdb1	5lnsB3.pdb1	451.5
5lnsD1.pdb1	5lnsB2.pdb1	451.6
5lnsD1.pdb1	5lnsA1.pdb1	890.95
5lnsA2.pdb1	5lnsB2.pdb1	1032.7
5lnsA2.pdb1	5lnsB3.pdb1	1044.4
5lnsB1.pdb1	5lnsA3.pdb1	1044.4
5lnsB1.pdb1	5lnsA1.pdb1	1032.75
5lnsB2.pdb1	5lnsA1.pdb1	1044.4
5lnsC3.pdb1	5lnsA3.pdb1	439.35
5lnsC3.pdb1	5lnsB3.pdb1	870.45
5lnsA3.pdb1	5lnsB3.pdb1	1032.7
5lndB1.pdb1	5lndA1.pdb1	302.65
4ln3E1.pdb4	4ln3F1.pdb4	2930.55
4ln8H1.pdb6	4ln8G1.pdb6	2994.8
3lnzO2.pdb6	3lnzP2.pdb6	536.05
3lnzO2.pdb6	3lnzP1.pdb6	220.05
3lnzO2.pdb6	3lnzO1.pdb6	487.1
3lnzP2.pdb6	3lnzO1.pdb6	220.05
3lnzP1.pdb6	3lnzO1.pdb6	536.05
1lnsA2.pdb1	1lnsA1.pdb1	1389.6
4lnqA1.pdb1	4lnqD1.pdb1	261.95
4lnqA1.pdb1	4lnqC1.pdb1	352.5
4lnqA1.pdb1	4lnqB1.pdb1	2.25
4lnqD1.pdb1	4lnqC1.pdb1	912.15
4lnqD1.pdb1	4lnqB1.pdb1	342.2
4lnqC1.pdb1	4lnqB1.pdb1	267.95
5lnxE1.pdb2	5lnxH1.pdb2	1321.25
5lnxE1.pdb2	5lnxF1.pdb2	1801.4
5lnxE1.pdb2	5lnxG1.pdb2	148.95
5lnxH1.pdb2	5lnxF1.pdb2	147.05
5lnxH1.pdb2	5lnxG1.pdb2	1836.05
5lnxF1.pdb2	5lnxG1.pdb2	1378.15
2lnzB1.pdb1	2lnzA1.pdb1	1087.4
4ln6K1.pdb8	4ln6L1.pdb8	2993.7
3ln0A1.pdb1	3ln0B1.pdb1	2471.3
1lnwB1.pdb1	1lnwA1.pdb1	2228.9
5lnpA1.pdb1	5lnpC1.pdb1	268.1
5lnpA1.pdb1	5lnpB1.pdb1	2589.3
5lnpA1.pdb1	5lnpD1.pdb1	165.55
5lnpC1.pdb1	5lnpB1.pdb1	222.0
5lnpC1.pdb1	5lnpD1.pdb1	2604.9
5lnpB1.pdb1	5lnpD1.pdb1	72.45
3lnyB5.pdb1	3lnyA5.pdb1	469.75
3lnyA3.pdb1	3lnyA6.pdb1	607.0
3lnyA3.pdb1	3lnyA2.pdb1	314.7
3lnyA3.pdb1	3lnyA5.pdb1	115.2
3lnyA3.pdb1	3lnyA1.pdb1	314.7
3lnyA3.pdb1	3lnyB3.pdb1	469.75
3lnyA6.pdb1	3lnyA2.pdb1	115.15
3lnyA6.pdb1	3lnyA5.pdb1	314.7
3lnyA6.pdb1	3lnyB6.pdb1	469.8
3lnyA6.pdb1	3lnyA4.pdb1	314.65
3lnyB1.pdb1	3lnyA1.pdb1	469.75
3lnyA2.pdb1	3lnyA1.pdb1	314.65
3lnyA2.pdb1	3lnyA4.pdb1	607.0
3lnyA2.pdb1	3lnyB2.pdb1	469.8
3lnyA5.pdb1	3lnyA1.pdb1	607.0
3lnyA5.pdb1	3lnyA4.pdb1	314.7
3lnyB4.pdb1	3lnyA4.pdb1	469.7
3lnyA1.pdb1	3lnyA4.pdb1	115.15
5lnwA2.pdb1	5lnwC2.pdb1	421.15
5lnwA2.pdb1	5lnwD2.pdb1	906.25
5lnwA2.pdb1	5lnwB3.pdb1	960.35
5lnwA2.pdb1	5lnwB2.pdb1	989.1
5lnwD3.pdb1	5lnwB1.pdb1	431.3
5lnwD3.pdb1	5lnwC3.pdb1	958.25
5lnwD3.pdb1	5lnwA3.pdb1	906.25
5lnwD3.pdb1	5lnwC1.pdb1	945.7
5lnwB1.pdb1	5lnwA3.pdb1	960.35
5lnwB1.pdb1	5lnwA1.pdb1	989.05
5lnwB1.pdb1	5lnwC1.pdb1	896.6
5lnwC2.pdb1	5lnwD2.pdb1	958.15
5lnwC2.pdb1	5lnwD1.pdb1	945.7
5lnwC2.pdb1	5lnwB2.pdb1	896.65
5lnwC3.pdb1	5lnwD2.pdb1	945.65
5lnwC3.pdb1	5lnwA3.pdb1	421.2
5lnwC3.pdb1	5lnwB3.pdb1	896.6
5lnwD2.pdb1	5lnwB3.pdb1	431.25
5lnwD1.pdb1	5lnwA1.pdb1	906.25
5lnwD1.pdb1	5lnwC1.pdb1	958.2
5lnwD1.pdb1	5lnwB2.pdb1	431.25
5lnwA3.pdb1	5lnwB3.pdb1	989.1
5lnwA1.pdb1	5lnwC1.pdb1	421.15
5lnwA1.pdb1	5lnwB2.pdb1	960.35
3lnpA2.pdb1	3lnpA1.pdb1	2505.55
3ln1A1.pdb1	3ln1B1.pdb1	2498.5
4ln6A1.pdb1	4ln6B1.pdb1	3010.85
4ln6A1.pdb1	4ln6D1.pdb1	252.2
4ln6A1.pdb1	4ln6F1.pdb1	248.35
4ln6A1.pdb1	4ln6E1.pdb1	433.4
4ln6A1.pdb1	4ln6C1.pdb1	480.85
4ln6B1.pdb1	4ln6D1.pdb1	1211.85
4ln6B1.pdb1	4ln6F1.pdb1	1217.1
4ln6B1.pdb1	4ln6E1.pdb1	261.3
4ln6B1.pdb1	4ln6C1.pdb1	252.95
4ln6D1.pdb1	4ln6F1.pdb1	1209.4
4ln6D1.pdb1	4ln6E1.pdb1	258.0
4ln6D1.pdb1	4ln6C1.pdb1	2996.55
4ln6F1.pdb1	4ln6E1.pdb1	3007.6
4ln6F1.pdb1	4ln6C1.pdb1	267.55
4ln6E1.pdb1	4ln6C1.pdb1	456.7
4ln6I1.pdb7	4ln6J1.pdb7	3006.7
4ln6C1.pdb3	4ln6D1.pdb3	2996.55
5lnqC1.pdb2	5lnqD1.pdb2	2372.95
4ln4F1.pdb4	4ln4E1.pdb4	2979.8
1ln0A1.pdb1	1ln0B1.pdb1	147.35
1lnuD1.pdb2	1lnuC1.pdb2	3211.9
4ln8E1.pdb4	4ln8F1.pdb4	2983.65
3lnzD2.pdb2	3lnzC2.pdb2	529.1
3lnzD2.pdb2	3lnzC1.pdb2	230.55
3lnzC2.pdb2	3lnzC1.pdb2	515.7
3lnzC2.pdb2	3lnzD1.pdb2	230.55
3lnzC1.pdb2	3lnzD1.pdb2	529.1
3lneA1.pdb1	3lneA2.pdb1	838.7
1lnxF1.pdb2	1lnxE1.pdb2	884.05
1lnxF1.pdb2	1lnxD1.pdb2	4.1
1lnxF1.pdb2	1lnxB2.pdb2	373.7
1lnxF1.pdb2	1lnxC2.pdb2	125.65
1lnxF1.pdb2	1lnxG1.pdb2	868.9
1lnxF1.pdb2	1lnxA2.pdb2	121.05
1lnxF1.pdb2	1lnxA1.pdb2	4.55
1lnxD2.pdb2	1lnxE1.pdb2	114.75
1lnxD2.pdb2	1lnxD1.pdb2	375.8
1lnxD2.pdb2	1lnxB2.pdb2	4.25
1lnxD2.pdb2	1lnxF2.pdb2	4.1
1lnxD2.pdb2	1lnxC2.pdb2	885.1
1lnxD2.pdb2	1lnxC1.pdb2	124.7
1lnxD2.pdb2	1lnxE2.pdb2	876.35
1lnxE1.pdb2	1lnxD1.pdb2	876.3
1lnxE1.pdb2	1lnxB2.pdb2	126.35
1lnxE1.pdb2	1lnxC2.pdb2	364.2
1lnxE1.pdb2	1lnxG1.pdb2	7.35
1lnxE1.pdb2	1lnxC1.pdb2	6.7
1lnxB1.pdb2	1lnxD1.pdb2	4.25
1lnxB1.pdb2	1lnxF2.pdb2	373.7
1lnxB1.pdb2	1lnxG1.pdb2	6.3
1lnxB1.pdb2	1lnxG2.pdb2	123.95
1lnxB1.pdb2	1lnxC1.pdb2	868.6
1lnxB1.pdb2	1lnxE2.pdb2	126.4
1lnxB1.pdb2	1lnxA1.pdb2	892.9
1lnxD1.pdb2	1lnxC2.pdb2	124.7
1lnxD1.pdb2	1lnxC1.pdb2	885.1
1lnxD1.pdb2	1lnxE2.pdb2	114.75
1lnxB2.pdb2	1lnxC2.pdb2	868.6
1lnxB2.pdb2	1lnxG1.pdb2	123.95
1lnxB2.pdb2	1lnxG2.pdb2	6.3
1lnxB2.pdb2	1lnxA2.pdb2	892.9
1lnxF2.pdb2	1lnxG2.pdb2	868.9
1lnxF2.pdb2	1lnxC1.pdb2	125.65
1lnxF2.pdb2	1lnxA2.pdb2	4.55
1lnxF2.pdb2	1lnxE2.pdb2	884.05
1lnxF2.pdb2	1lnxA1.pdb2	121.05
1lnxC2.pdb2	1lnxA2.pdb2	6.25
1lnxC2.pdb2	1lnxE2.pdb2	6.7
1lnxG1.pdb2	1lnxG2.pdb2	121.6
1lnxG1.pdb2	1lnxA2.pdb2	366.45
1lnxG1.pdb2	1lnxA1.pdb2	880.7
1lnxG2.pdb2	1lnxA2.pdb2	880.7
1lnxG2.pdb2	1lnxE2.pdb2	7.35
1lnxG2.pdb2	1lnxA1.pdb2	366.45
1lnxC1.pdb2	1lnxE2.pdb2	364.2
1lnxC1.pdb2	1lnxA1.pdb2	6.25
1lnxA2.pdb2	1lnxA1.pdb2	127.3
3lnlB1.pdb1	3lnlA1.pdb1	1795.3
3lnlB1.pdb1	3lnlB3.pdb1	602.4
3lnlB1.pdb1	3lnlA3.pdb1	847.45
3lnlB1.pdb1	3lnlB2.pdb1	602.4
3lnlA1.pdb1	3lnlA3.pdb1	316.55
3lnlA1.pdb1	3lnlB2.pdb1	847.45
3lnlA1.pdb1	3lnlA2.pdb1	316.55
3lnlB3.pdb1	3lnlA3.pdb1	1795.25
3lnlB3.pdb1	3lnlB2.pdb1	602.45
3lnlB3.pdb1	3lnlA2.pdb1	847.4
3lnlA3.pdb1	3lnlA2.pdb1	316.5
3lnlB2.pdb1	3lnlA2.pdb1	1795.2
3lnhB1.pdb1	3lnhA1.pdb1	897.65
3ln5B1.pdb1	3ln5A1.pdb1	1224.1
3ln5A1.pdb1	3ln5C1.pdb1	969.7
4lngB1.pdb1	4lngA1.pdb1	3550.95
3lngA1.pdb1	3lngB1.pdb1	949.4
5lnlG1.pdb3	5lnlH1.pdb3	1722.0
5lnlG1.pdb3	5lnlI1.pdb3	1791.5
5lnlH1.pdb3	5lnlI1.pdb3	1738.2
4ln2B1.pdb1	4ln2A1.pdb1	429.4
4ln4D1.pdb1	4ln4A1.pdb1	306.45
4ln4D1.pdb1	4ln4E1.pdb1	239.45
4ln4D1.pdb1	4ln4C1.pdb1	2977.85
4ln4D1.pdb1	4ln4F1.pdb1	1184.55
4ln4D1.pdb1	4ln4B1.pdb1	1183.3
4ln4A1.pdb1	4ln4E1.pdb1	491.2
4ln4A1.pdb1	4ln4C1.pdb1	493.35
4ln4A1.pdb1	4ln4F1.pdb1	237.6
4ln4A1.pdb1	4ln4B1.pdb1	2965.9
4ln4E1.pdb1	4ln4C1.pdb1	494.75
4ln4E1.pdb1	4ln4F1.pdb1	2979.8
4ln4E1.pdb1	4ln4B1.pdb1	306.75
4ln4C1.pdb1	4ln4F1.pdb1	311.3
4ln4C1.pdb1	4ln4B1.pdb1	238.95
4ln4F1.pdb1	4ln4B1.pdb1	1185.9
4ln0C1.pdb1	4ln0B1.pdb1	1064.15
4ln0C1.pdb1	4ln0A1.pdb1	541.25
4ln0B1.pdb1	4ln0A1.pdb1	15.75
4ln6G1.pdb6	4ln6H1.pdb6	3005.15
3lnmC3.pdb2	3lnmC1.pdb2	924.85
3lnmC3.pdb2	3lnmB2.pdb2	413.3
3lnmC3.pdb2	3lnmC2.pdb2	924.75
3lnmC1.pdb2	3lnmB3.pdb2	413.3
3lnmC1.pdb2	3lnmC4.pdb2	924.75
3lnmB1.pdb2	3lnmB4.pdb2	2347.9
3lnmB1.pdb2	3lnmB2.pdb2	42.4
3lnmB1.pdb2	3lnmB3.pdb2	2347.9
3lnmB1.pdb2	3lnmC4.pdb2	413.3
3lnmB4.pdb2	3lnmB2.pdb2	2347.9
3lnmB4.pdb2	3lnmC2.pdb2	413.3
3lnmB4.pdb2	3lnmB3.pdb2	42.45
3lnmB2.pdb2	3lnmB3.pdb2	2347.7
3lnmC2.pdb2	3lnmC4.pdb2	924.65
1lnuE1.pdb3	1lnuF1.pdb3	3206.7
5lnqB1.pdb1	5lnqA1.pdb1	2379.15
5lnjA1.pdb1	5lnjA2.pdb1	1413.9
4ln8A1.pdb2	4ln8B1.pdb2	2991.15
1lnwH1.pdb4	1lnwG1.pdb4	1991.45
4ln4H1.pdb6	4ln4G1.pdb6	2997.4
1lnyA1.pdb1	1lnyB1.pdb1	2702.75
5lnhE1.pdb4	5lnhD1.pdb4	759.3
3lncA1.pdb1	3lncB1.pdb1	1643.4
3ln6A2.pdb1	3ln6A1.pdb1	1117.3
5lnhI1.pdb5	5lnhI2.pdb5	724.7
4lnkB2.pdb1	4lnkF1.pdb1	32.4
4lnkB2.pdb1	4lnkC2.pdb1	1689.15
4lnkB2.pdb1	4lnkA1.pdb1	2146.0
4lnkB2.pdb1	4lnkA2.pdb1	1704.4
4lnkE1.pdb1	4lnkF1.pdb1	1689.95
4lnkE1.pdb1	4lnkD2.pdb1	2127.7
4lnkE1.pdb1	4lnkC2.pdb1	43.05
4lnkE1.pdb1	4lnkD1.pdb1	1707.45
4lnkF1.pdb1	4lnkC2.pdb1	2113.45
4lnkF1.pdb1	4lnkA1.pdb1	1732.7
4lnkD2.pdb1	4lnkC2.pdb1	1633.35
4lnkD2.pdb1	4lnkE2.pdb1	1707.45
4lnkD2.pdb1	4lnkD1.pdb1	56.25
4lnkC1.pdb1	4lnkE2.pdb1	43.05
4lnkC1.pdb1	4lnkB1.pdb1	1689.1
4lnkC1.pdb1	4lnkD1.pdb1	1633.3
4lnkC1.pdb1	4lnkF2.pdb1	2113.45
4lnkA1.pdb1	4lnkB1.pdb1	1704.4
4lnkA1.pdb1	4lnkA2.pdb1	48.05
4lnkE2.pdb1	4lnkD1.pdb1	2127.65
4lnkE2.pdb1	4lnkF2.pdb1	1689.9
4lnkB1.pdb1	4lnkA2.pdb1	2146.05
4lnkB1.pdb1	4lnkF2.pdb1	32.4
4lnkA2.pdb1	4lnkF2.pdb1	1732.75
5lntD1.pdb1	5lntA1.pdb1	845.1
5lntD1.pdb1	5lntC1.pdb1	888.3
5lntD1.pdb1	5lntB2.pdb1	385.95
5lntD1.pdb1	5lntC2.pdb1	885.6
5lntA1.pdb1	5lntB1.pdb1	895.5
5lntA1.pdb1	5lntC1.pdb1	384.9
5lntA1.pdb1	5lntB2.pdb1	892.4
5lntA2.pdb1	5lntB3.pdb1	892.4
5lntA2.pdb1	5lntB2.pdb1	895.55
5lntA2.pdb1	5lntC2.pdb1	384.95
5lntA2.pdb1	5lntD2.pdb1	845.1
5lntD3.pdb1	5lntB1.pdb1	385.95
5lntD3.pdb1	5lntC1.pdb1	885.55
5lntD3.pdb1	5lntA3.pdb1	845.1
5lntD3.pdb1	5lntC3.pdb1	888.25
5lntB3.pdb1	5lntA3.pdb1	895.5
5lntB3.pdb1	5lntD2.pdb1	385.95
5lntB3.pdb1	5lntC3.pdb1	845.65
5lntB1.pdb1	5lntC1.pdb1	845.65
5lntB1.pdb1	5lntA3.pdb1	892.45
5lntB2.pdb1	5lntC2.pdb1	845.7
5lntC2.pdb1	5lntD2.pdb1	888.3
5lntA3.pdb1	5lntC3.pdb1	384.9
5lntD2.pdb1	5lntC3.pdb1	885.5
4ln6F1.pdb4	4ln6E1.pdb4	3007.6
5lnvA2.pdb1	5lnvD2.pdb1	880.75
5lnvA2.pdb1	5lnvB2.pdb1	1064.65
5lnvA2.pdb1	5lnvC2.pdb1	414.35
5lnvA2.pdb1	5lnvB3.pdb1	1049.5
5lnvB1.pdb1	5lnvA1.pdb1	1064.65
5lnvB1.pdb1	5lnvC1.pdb1	861.15
5lnvB1.pdb1	5lnvD3.pdb1	441.65
5lnvB1.pdb1	5lnvA3.pdb1	1049.4
5lnvC3.pdb1	5lnvD2.pdb1	1045.8
5lnvC3.pdb1	5lnvD3.pdb1	1038.25
5lnvC3.pdb1	5lnvA3.pdb1	414.4
5lnvC3.pdb1	5lnvB3.pdb1	861.2
5lnvD2.pdb1	5lnvC2.pdb1	1038.15
5lnvD2.pdb1	5lnvB3.pdb1	441.7
5lnvD1.pdb1	5lnvB2.pdb1	441.65
5lnvD1.pdb1	5lnvC2.pdb1	1045.75
5lnvD1.pdb1	5lnvA1.pdb1	880.75
5lnvD1.pdb1	5lnvC1.pdb1	1038.15
5lnvB2.pdb1	5lnvC2.pdb1	861.2
5lnvB2.pdb1	5lnvA1.pdb1	1049.45
5lnvA1.pdb1	5lnvC1.pdb1	414.35
5lnvC1.pdb1	5lnvD3.pdb1	1045.75
5lnvD3.pdb1	5lnvA3.pdb1	880.75
5lnvA3.pdb1	5lnvB3.pdb1	1064.65
5lnhK2.pdb6	5lnhK1.pdb6	757.2
4ln9B1.pdb1	4ln9A1.pdb1	1159.0
2lnsB1.pdb1	2lnsA1.pdb1	602.85
4ln1A1.pdb1	4ln1C1.pdb1	731.95
4ln1A1.pdb1	4ln1D1.pdb1	1114.8
4ln1A1.pdb1	4ln1B1.pdb1	1989.4
4ln1C1.pdb1	4ln1D1.pdb1	1972.75
4ln1C1.pdb1	4ln1B1.pdb1	1125.05
4ln1D1.pdb1	4ln1B1.pdb1	711.45
3lnnB4.pdb4	3lnnA3.pdb4	221.0
3lnnB4.pdb4	3lnnA4.pdb4	1423.6
3lnnB4.pdb4	3lnnB2.pdb4	675.2
3lnnA3.pdb4	3lnnA4.pdb4	1198.8
