4xd9A1.pdb1	4xd9B1.pdb1	2725.1
5xdcA1.pdb1	5xdcB1.pdb1	2044.9
5xdcA1.pdb1	5xdcD1.pdb1	1783.0
5xdcB1.pdb1	5xdcD1.pdb1	130.15
1xdpA1.pdb1	1xdpB1.pdb1	1678.45
4xdnA1.pdb1	4xdnB1.pdb1	6079.15
4xd0A2.pdb1	4xd0A1.pdb1	1120.8
2xdwP1.pdb1	2xdwA1.pdb1	145.6
1xdkD1.pdb1	1xdkB1.pdb1	502.85
1xdkC1.pdb1	1xdkA1.pdb1	597.3
1xdkB1.pdb1	1xdkA1.pdb1	1200.85
1xdaE1.pdb3	1xdaF1.pdb3	609.15
5xdzB1.pdb1	5xdzA1.pdb1	694.5
2xdlA2.pdb1	2xdlA1.pdb1	772.2
4xd5A1.pdb1	4xd5G1.pdb1	1404.65
4xdaC1.pdb2	4xdaD1.pdb2	1277.9
2xdcB1.pdb1	2xdcA1.pdb1	654.8
5xdaE1.pdb1	5xdaH1.pdb1	253.4
5xdaE1.pdb1	5xdaK1.pdb1	1004.4
5xdaE1.pdb1	5xdaF1.pdb1	764.25
5xdaE1.pdb1	5xdaB1.pdb1	430.85
5xdaD2.pdb1	5xdaJ2.pdb1	990.6
5xdaD2.pdb1	5xdaC2.pdb1	774.5
5xdaG1.pdb1	5xdaA1.pdb1	966.15
5xdaG1.pdb1	5xdaC2.pdb1	275.0
5xdaH1.pdb1	5xdaB1.pdb1	1026.4
5xdaK1.pdb1	5xdaB1.pdb1	330.75
5xdaF1.pdb1	5xdaL1.pdb1	1026.7
5xdaA1.pdb1	5xdaI2.pdb1	267.3
5xdaA1.pdb1	5xdaC2.pdb1	387.85
5xdaA1.pdb1	5xdaB1.pdb1	743.35
5xdaI2.pdb1	5xdaC2.pdb1	1012.35
4xdgB1.pdb1	4xdgA1.pdb1	1991.5
1xdcA1.pdb1	1xdcB1.pdb1	755.7
1xdcA1.pdb1	1xdcB2.pdb1	303.05
1xdcA1.pdb1	1xdcA2.pdb1	927.9
1xdcB1.pdb1	1xdcB2.pdb1	919.5
1xdcB1.pdb1	1xdcA2.pdb1	303.05
1xdcB2.pdb1	1xdcA2.pdb1	755.7
4xdaB1.pdb1	4xdaA1.pdb1	1301.6
5xddC1.pdb1	5xddB1.pdb1	1822.2
5xddC1.pdb1	5xddA1.pdb1	129.9
5xddC1.pdb1	5xddD1.pdb1	2306.35
5xddB1.pdb1	5xddA1.pdb1	2021.3
5xddB1.pdb1	5xddD1.pdb1	131.15
5xddA1.pdb1	5xddD1.pdb1	1802.35
1xdlW1.pdb3	1xdlX1.pdb3	721.7
4xdwD1.pdb4	4xdwC1.pdb4	1492.6
5xdqS1.pdb2	5xdqR1.pdb2	164.6
5xdqS1.pdb2	5xdqT1.pdb2	45.85
5xdqS1.pdb2	5xdqQ1.pdb2	146.75
5xdqS1.pdb2	5xdqN1.pdb2	1241.65
5xdqS1.pdb2	5xdqW1.pdb2	151.45
5xdqS1.pdb2	5xdqP1.pdb2	884.8
5xdqR1.pdb2	5xdqQ1.pdb2	1290.2
5xdqR1.pdb2	5xdqO1.pdb2	278.95
5xdqR1.pdb2	5xdqV1.pdb2	616.6
5xdqT1.pdb2	5xdqU1.pdb2	209.45
5xdqT1.pdb2	5xdqN1.pdb2	362.75
5xdqT1.pdb2	5xdqP1.pdb2	1670.9
5xdqU1.pdb2	5xdqO1.pdb2	987.05
5xdqU1.pdb2	5xdqN1.pdb2	134.1
5xdqU1.pdb2	5xdqP1.pdb2	241.7
5xdqY1.pdb2	5xdqN1.pdb2	1701.15
