3sqbA1.pdb1	3sqbB1.pdb1	1733.85
1sqxK1.pdb1	1sqxC2.pdb1	100.35
1sqxE2.pdb1	1sqxE1.pdb1	0.1
1sqxE2.pdb1	1sqxJ1.pdb1	0.05
1sqxE2.pdb1	1sqxF1.pdb1	0.05
1sqxE2.pdb1	1sqxC1.pdb1	1225.85
1sqxE2.pdb1	1sqxB1.pdb1	0.05
1sqxE2.pdb1	1sqxD2.pdb1	780.2
1sqxE2.pdb1	1sqxG2.pdb1	644.5
1sqxE2.pdb1	1sqxH1.pdb1	0.05
1sqxE2.pdb1	1sqxB2.pdb1	0.05
1sqxE2.pdb1	1sqxA2.pdb1	1044.55
1sqxE2.pdb1	1sqxI2.pdb1	0.05
1sqxE2.pdb1	1sqxG1.pdb1	0.05
1sqxE2.pdb1	1sqxI1.pdb1	0.05
1sqxE2.pdb1	1sqxF2.pdb1	5.25
1sqxE2.pdb1	1sqxC2.pdb1	529.0
1sqxE2.pdb1	1sqxK2.pdb1	130.4
1sqxE1.pdb1	1sqxJ1.pdb1	687.8
1sqxE1.pdb1	1sqxF1.pdb1	5.25
1sqxE1.pdb1	1sqxC1.pdb1	529.0
1sqxE1.pdb1	1sqxB1.pdb1	0.05
1sqxE1.pdb1	1sqxD2.pdb1	41.0
1sqxE1.pdb1	1sqxG2.pdb1	0.05
1sqxE1.pdb1	1sqxH1.pdb1	0.05
1sqxE1.pdb1	1sqxB2.pdb1	0.05
1sqxE1.pdb1	1sqxA2.pdb1	0.05
1sqxE1.pdb1	1sqxI2.pdb1	0.05
1sqxE1.pdb1	1sqxG1.pdb1	644.5
1sqxE1.pdb1	1sqxI1.pdb1	0.05
1sqxE1.pdb1	1sqxF2.pdb1	0.05
1sqxE1.pdb1	1sqxC2.pdb1	1225.85
1sqxE1.pdb1	1sqxK2.pdb1	0.05
1sqxF1.pdb1	1sqxC1.pdb1	1248.0
1sqxF1.pdb1	1sqxB2.pdb1	447.0
1sqxF1.pdb1	1sqxA2.pdb1	53.4
1sqxF1.pdb1	1sqxG1.pdb1	459.75
1sqxF1.pdb1	1sqxK2.pdb1	238.5
1sqxC1.pdb1	1sqxG1.pdb1	1089.95
1sqxC1.pdb1	1sqxC2.pdb1	1115.6
1sqxC1.pdb1	1sqxK2.pdb1	100.35
1sqxB1.pdb1	1sqxB2.pdb1	675.7
1sqxB1.pdb1	1sqxI1.pdb1	2075.95
1sqxB1.pdb1	1sqxF2.pdb1	447.0
1sqxD2.pdb1	1sqxG2.pdb1	791.8
1sqxD2.pdb1	1sqxA2.pdb1	152.45
1sqxD2.pdb1	1sqxF2.pdb1	385.4
1sqxD2.pdb1	1sqxC2.pdb1	1676.75
1sqxG2.pdb1	1sqxA2.pdb1	881.05
1sqxG2.pdb1	1sqxF2.pdb1	459.75
1sqxG2.pdb1	1sqxC2.pdb1	1089.95
1sqxH1.pdb1	1sqxG1.pdb1	176.65
1sqxB2.pdb1	1sqxA2.pdb1	2261.1
1sqxB2.pdb1	1sqxI2.pdb1	2075.95
1sqxA2.pdb1	1sqxI2.pdb1	1399.05
1sqxA2.pdb1	1sqxF2.pdb1	1.5
1sqxA2.pdb1	1sqxC2.pdb1	432.7
1sqxA2.pdb1	1sqxK2.pdb1	371.1
1sqxF2.pdb1	1sqxC2.pdb1	1248.0
3sq5D2.pdb6	3sq5C1.pdb6	815.7
3sqmA1.pdb1	3sqmB1.pdb1	2882.9
1sq7B1.pdb1	1sq7A1.pdb1	1650.8
1sqlB1.pdb1	1sqlA1.pdb1	1007.7
1sqlB1.pdb1	1sqlF1.pdb1	35.2
1sqlB1.pdb1	1sqlG1.pdb1	667.35
1sqlB1.pdb1	1sqlC1.pdb1	951.7
1sqlE1.pdb1	1sqlH1.pdb1	1008.85
1sqlE1.pdb1	1sqlD1.pdb1	634.8
1sqlE1.pdb1	1sqlF1.pdb1	940.85
1sqlE1.pdb1	1sqlC1.pdb1	41.95
1sqlA1.pdb1	1sqlH1.pdb1	688.6
1sqlA1.pdb1	1sqlD1.pdb1	977.7
1sqlA1.pdb1	1sqlG1.pdb1	41.05
1sqlH1.pdb1	1sqlD1.pdb1	46.8
1sqlH1.pdb1	1sqlG1.pdb1	998.35
1sqlD1.pdb1	1sqlC1.pdb1	978.65
1sqlF1.pdb1	1sqlG1.pdb1	965.8
1sqlF1.pdb1	1sqlC1.pdb1	692.8
3sqdB1.pdb2	3sqdD1.pdb2	224.55
3sqmD1.pdb2	3sqmC1.pdb2	2795.3
3sq9B1.pdb1	3sq9C1.pdb1	1180.8
3sq9B1.pdb1	3sq9A1.pdb1	1247.5
3sq9D1.pdb1	3sq9E1.pdb1	1202.0
3sq9D1.pdb1	3sq9C1.pdb1	1261.3
3sq9E1.pdb1	3sq9A1.pdb1	1165.35
1sqeB1.pdb1	1sqeA1.pdb1	1519.95
1sqvG2.pdb1	1sqvA2.pdb1	882.7
1sqvG2.pdb1	1sqvE2.pdb1	635.0
1sqvG2.pdb1	1sqvC2.pdb1	1068.45
1sqvG2.pdb1	1sqvF2.pdb1	451.05
1sqvG2.pdb1	1sqvH2.pdb1	115.95
1sqvG2.pdb1	1sqvD2.pdb1	763.3
1sqvA2.pdb1	1sqvE2.pdb1	1011.7
1sqvA2.pdb1	1sqvB2.pdb1	2204.05
1sqvA2.pdb1	1sqvC2.pdb1	428.05
1sqvA2.pdb1	1sqvI2.pdb1	1443.2
1sqvA2.pdb1	1sqvK2.pdb1	377.2
1sqvA2.pdb1	1sqvF2.pdb1	7.5
1sqvA2.pdb1	1sqvF1.pdb1	50.25
