3upjB1.pdb1	3upjA1.pdb1	1666.05
1upmK1.pdb1	1upmT1.pdb1	907.85
1upmS1.pdb1	1upmF1.pdb1	337.75
1upmS1.pdb1	1upmL1.pdb1	1850.25
1upmS1.pdb1	1upmV1.pdb1	482.55
1upmS1.pdb1	1upmR1.pdb1	901.4
1upmS1.pdb1	1upmT1.pdb1	345.9
1upmE1.pdb1	1upmF1.pdb1	1847.4
1upmE1.pdb1	1upmI1.pdb1	0.2
1upmE1.pdb1	1upmL1.pdb1	495.95
1upmE1.pdb1	1upmC1.pdb1	494.35
1upmE1.pdb1	1upmM1.pdb1	905.05
1upmF1.pdb1	1upmL1.pdb1	913.5
1upmF1.pdb1	1upmM1.pdb1	342.1
1upmP1.pdb1	1upmO1.pdb1	1840.3
1upmP1.pdb1	1upmI1.pdb1	343.15
1upmP1.pdb1	1upmW1.pdb1	337.05
1upmP1.pdb1	1upmV1.pdb1	906.0
1upmP1.pdb1	1upmR1.pdb1	502.35
1upmO1.pdb1	1upmI1.pdb1	903.5
1upmO1.pdb1	1upmV1.pdb1	489.75
1upmO1.pdb1	1upmR1.pdb1	456.6
1upmO1.pdb1	1upmT1.pdb1	490.85
1upmI1.pdb1	1upmC1.pdb1	337.45
1upmW1.pdb1	1upmL1.pdb1	483.4
1upmW1.pdb1	1upmV1.pdb1	1852.15
1upmW1.pdb1	1upmC1.pdb1	343.6
1upmW1.pdb1	1upmR1.pdb1	0.6
1upmL1.pdb1	1upmV1.pdb1	462.75
1upmL1.pdb1	1upmC1.pdb1	1.35
1upmL1.pdb1	1upmR1.pdb1	487.95
1upmV1.pdb1	1upmR1.pdb1	4764.25
1upmV1.pdb1	1upmT1.pdb1	0.95
1upmR1.pdb1	1upmT1.pdb1	1850.75
1upmM1.pdb1	1upmT1.pdb1	338.75
3up4A1.pdb3	3up4B1.pdb3	1030.85
1upaB1.pdb1	1upaC1.pdb1	223.7
1upaB1.pdb1	1upaA1.pdb1	3593.15
1upaB1.pdb1	1upaD1.pdb1	1036.05
1upaC1.pdb1	1upaA1.pdb1	998.85
1upaC1.pdb1	1upaD1.pdb1	3599.1
1upaA1.pdb1	1upaD1.pdb1	219.45
4upaA2.pdb1	4upaA1.pdb1	4426.4
1up7F1.pdb2	1up7G1.pdb2	874.0
1up7F1.pdb2	1up7E1.pdb2	1636.15
1up7G1.pdb2	1up7H1.pdb2	1633.6
1up7E1.pdb2	1up7H1.pdb2	868.1
4upoA1.pdb1	4upoB1.pdb1	2642.6
3upyB1.pdb1	3upyA1.pdb1	2811.55
3upfC2.pdb4	3upfB1.pdb4	513.85
3upfC2.pdb4	3upfC1.pdb4	1125.2
3upfC2.pdb4	3upfA2.pdb4	479.25
3upfB1.pdb4	3upfA1.pdb4	1195.2
3upfB1.pdb4	3upfA2.pdb4	403.2
3upfA1.pdb4	3upfC1.pdb4	479.25
3upfA1.pdb4	3upfB2.pdb4	403.2
3upfC1.pdb4	3upfB2.pdb4	513.85
3upfA2.pdb4	3upfB2.pdb4	1195.2
4up8A1.pdb1	4up8A2.pdb1	4494.95
1up4B1.pdb1	1up4C1.pdb1	861.25
1up4B1.pdb1	1up4A1.pdb1	1540.35
1up4D1.pdb1	1up4C1.pdb1	1523.0
1up4D1.pdb1	1up4A1.pdb1	857.3
5up4K1.pdb1	5up4M1.pdb1	1166.05
5up4K1.pdb1	5up4I1.pdb1	1078.8
5up4R1.pdb1	5up4S1.pdb1	1082.05
5up4R1.pdb1	5up4P1.pdb1	1100.95
5up4O1.pdb1	5up4G1.pdb1	70.8
5up4O1.pdb1	5up4L1.pdb1	413.65
5up4O1.pdb1	5up4Q1.pdb1	1198.8
5up4O1.pdb1	5up4N1.pdb1	1121.6
5up4S1.pdb1	5up4Q1.pdb1	1180.55
5up4G1.pdb1	5up4F1.pdb1	1131.1
5up4G1.pdb1	5up4J1.pdb1	6.45
5up4G1.pdb1	5up4N1.pdb1	421.4
5up4G1.pdb1	5up4C1.pdb1	3.2
5up4G1.pdb1	5up4E1.pdb1	1178.35
5up4F1.pdb1	5up4D1.pdb1	1182.9
5up4F1.pdb1	5up4N1.pdb1	37.9
5up4L1.pdb1	5up4Q1.pdb1	6.2
5up4L1.pdb1	5up4M1.pdb1	1105.3
5up4L1.pdb1	5up4J1.pdb1	1106.25
5up4B1.pdb1	5up4D1.pdb1	1174.8
5up4B1.pdb1	5up4C1.pdb1	1143.55
5up4D1.pdb1	5up4C1.pdb1	3.3
5up4J1.pdb1	5up4H1.pdb1	1210.95
5up4J1.pdb1	5up4E1.pdb1	416.05
5up4H1.pdb1	5up4E1.pdb1	7.45
5up4H1.pdb1	5up4I1.pdb1	1122.1
5up4P1.pdb1	5up4N1.pdb1	1179.5
5up4C1.pdb1	5up4E1.pdb1	1088.65
4updA1.pdb1	4updB1.pdb1	776.05
3upuA1.pdb1	3upuD1.pdb1	1008.4
1up6A1.pdb1	1up6B1.pdb1	1551.2
1up6A1.pdb1	1up6D1.pdb1	867.7
1up6B1.pdb1	1up6C1.pdb1	850.7
1up6D1.pdb1	1up6C1.pdb1	1525.55
5uplB1.pdb1	5uplA1.pdb1	225.4
6upjB1.pdb1	6upjA1.pdb1	1748.9
