3wvwA7.pdb1	3wvwA23.pdb1	595.55
3wvwA7.pdb1	3wvwA24.pdb1	597.0
3wvwA11.pdb1	3wvwA12.pdb1	36.2
3wvwA11.pdb1	3wvwA19.pdb1	595.5
3wvwA11.pdb1	3wvwA6.pdb1	656.7
3wvwA11.pdb1	3wvwA20.pdb1	597.0
3wvwA12.pdb1	3wvwA19.pdb1	597.05
3wvwA12.pdb1	3wvwA20.pdb1	595.55
3wvwA19.pdb1	3wvwA24.pdb1	656.7
3wvwA19.pdb1	3wvwA20.pdb1	38.2
3wvwA16.pdb1	3wvwA23.pdb1	657.0
3wvwA16.pdb1	3wvwA18.pdb1	655.5
3wvwA16.pdb1	3wvwA9.pdb1	1455.1
3wvwA16.pdb1	3wvwA1.pdb1	598.6
3wvwA17.pdb1	3wvwA21.pdb1	656.7
3wvwA17.pdb1	3wvwA13.pdb1	655.5
3wvwA17.pdb1	3wvwA10.pdb1	595.5
3wvwA17.pdb1	3wvwA18.pdb1	38.2
3wvwA17.pdb1	3wvwA9.pdb1	597.05
3wvwA17.pdb1	3wvwA5.pdb1	1452.3
3wvwA8.pdb1	3wvwA23.pdb1	597.05
3wvwA8.pdb1	3wvwA24.pdb1	595.55
3wvwA8.pdb1	3wvwA10.pdb1	656.7
3wvwA8.pdb1	3wvwA18.pdb1	1452.3
3wvwA6.pdb1	3wvwA21.pdb1	595.5
3wvwA6.pdb1	3wvwA5.pdb1	38.2
3wvwA6.pdb1	3wvwA20.pdb1	1452.3
3wvwA21.pdb1	3wvwA13.pdb1	657.0
3wvwA21.pdb1	3wvwA5.pdb1	597.0
3wvwA23.pdb1	3wvwA24.pdb1	36.2
3wvwA23.pdb1	3wvwA18.pdb1	656.75
3wvwA13.pdb1	3wvwA10.pdb1	1455.1
3wvwA10.pdb1	3wvwA18.pdb1	597.0
3wvwA10.pdb1	3wvwA9.pdb1	36.2
3wvwA18.pdb1	3wvwA9.pdb1	595.55
3wvwA9.pdb1	3wvwA5.pdb1	656.75
3wvwA9.pdb1	3wvwA1.pdb1	657.0
3wvwA5.pdb1	3wvwA1.pdb1	655.5
4wvcB3.pdb2	4wvcB2.pdb2	1244.1
4wvcB3.pdb2	4wvcB1.pdb2	1244.1
4wvcB2.pdb2	4wvcB1.pdb2	1244.15
3wv9C2.pdb7	3wv9C3.pdb7	1040.85
3wv9C2.pdb7	3wv9C1.pdb7	1040.85
3wv9C3.pdb7	3wv9C1.pdb7	1040.9
4wv4A1.pdb1	4wv4B1.pdb1	2307.5
1wv2B1.pdb1	1wv2A1.pdb1	883.0
1wvjA2.pdb1	1wvjA1.pdb1	983.4
3wv3A1.pdb3	3wv3B1.pdb3	1201.7
2wv0F1.pdb3	2wv0E1.pdb3	1792.15
2wv0H1.pdb5	2wv0I1.pdb5	1486.25
5wvcB1.pdb1	5wvcD1.pdb1	173.25
5wvcB1.pdb1	5wvcA1.pdb1	463.35
5wvcB1.pdb1	5wvcC1.pdb1	579.85
5wvcF1.pdb1	5wvcD1.pdb1	155.45
5wvcF1.pdb1	5wvcE1.pdb1	463.5
5wvcF1.pdb1	5wvcA1.pdb1	183.05
5wvcD1.pdb1	5wvcE1.pdb1	581.95
5wvcD1.pdb1	5wvcC1.pdb1	449.3
5wvcE1.pdb1	5wvcC1.pdb1	184.05
5wvcA1.pdb1	5wvcC1.pdb1	87.05
1wv0A1.pdb1	1wv0A2.pdb1	2166.9
2wvtA1.pdb1	2wvtB1.pdb1	1036.45
4wvdD1.pdb2	4wvdB1.pdb2	516.25
1wv9B1.pdb1	1wv9A1.pdb1	404.45
5wvuA2.pdb1	5wvuA1.pdb1	1539.4
4wviD1.pdb1	4wviA1.pdb1	572.45
1wvmA1.pdb2	1wvmB1.pdb2	537.05
4wvrC1.pdb2	4wvrB1.pdb2	609.4
1wv2B2.pdb2	1wv2A1.pdb2	16.2
1wv2B2.pdb2	1wv2B1.pdb2	1461.5
1wv2B2.pdb2	1wv2A2.pdb2	882.95
1wv2A1.pdb2	1wv2B1.pdb2	883.0
1wv2A1.pdb2	1wv2A2.pdb2	1486.8
1wv2B1.pdb2	1wv2A2.pdb2	16.2
4wvdC1.pdb1	4wvdA1.pdb1	531.7
1wvmD1.pdb1	1wvmB1.pdb1	323.2
1wvmB1.pdb1	1wvmA1.pdb1	537.05
1wvmA1.pdb1	1wvmC1.pdb1	321.15
5wvuC1.pdb2	5wvuB1.pdb2	1578.25
3wvbA1.pdb1	3wvbB1.pdb1	1528.8
4wvuB1.pdb1	4wvuA1.pdb1	279.65
4wvrD1.pdb1	4wvrA1.pdb1	613.3
2wv5E1.pdb1	2wv5A1.pdb1	752.8
2wvrA2.pdb1	2wvrB2.pdb1	1746.95
2wvrA2.pdb1	2wvrB1.pdb1	5.05
2wvrA2.pdb1	2wvrC2.pdb1	428.35
2wvrA2.pdb1	2wvrC1.pdb1	413.6
2wvrB2.pdb1	2wvrC2.pdb1	836.85
2wvrB2.pdb1	2wvrA1.pdb1	5.05
2wvrB2.pdb1	2wvrC1.pdb1	250.15
2wvrB1.pdb1	2wvrC2.pdb1	250.15
2wvrB1.pdb1	2wvrA1.pdb1	1746.95
2wvrB1.pdb1	2wvrC1.pdb1	836.85
2wvrC2.pdb1	2wvrA1.pdb1	413.6
2wvrA1.pdb1	2wvrC1.pdb1	428.35
2wvdB1.pdb2	2wvdA1.pdb2	2828.75
2wvjC1.pdb1	2wvjD1.pdb1	822.55
2wvjC1.pdb1	2wvjA1.pdb1	1244.9
2wvjC1.pdb1	2wvjB1.pdb1	36.15
2wvjD1.pdb1	2wvjA1.pdb1	25.3
2wvjD1.pdb1	2wvjB1.pdb1	1237.55
2wvjA1.pdb1	2wvjB1.pdb1	825.45
3wvzA1.pdb1	3wvzB1.pdb1	2600.8
4wvyA3.pdb1	4wvyB1.pdb1	2333.85
4wvyA3.pdb1	4wvyB6.pdb1	799.5
4wvyA3.pdb1	4wvyA5.pdb1	160.5
4wvyA3.pdb1	4wvyB3.pdb1	2315.55
4wvyB2.pdb1	4wvyA2.pdb1	2315.6
4wvyB2.pdb1	4wvyA4.pdb1	799.5
4wvyB2.pdb1	4wvyA1.pdb1	2333.8
4wvyB1.pdb1	4wvyA5.pdb1	799.55
4wvyB1.pdb1	4wvyA1.pdb1	2315.6
4wvyB6.pdb1	4wvyA5.pdb1	2333.75
4wvyB6.pdb1	4wvyA6.pdb1	2315.55
4wvyA2.pdb1	4wvyA6.pdb1	160.55
4wvyA2.pdb1	4wvyB3.pdb1	2333.85
4wvyA2.pdb1	4wvyB4.pdb1	799.5
4wvyA5.pdb1	4wvyB5.pdb1	2315.6
4wvyA6.pdb1	4wvyB3.pdb1	799.5
4wvyA6.pdb1	4wvyB4.pdb1	2333.8
4wvyA4.pdb1	4wvyB5.pdb1	2333.75
4wvyA4.pdb1	4wvyB4.pdb1	2315.55
4wvyA4.pdb1	4wvyA1.pdb1	160.5
4wvyB5.pdb1	4wvyA1.pdb1	799.5
2wvgA1.pdb1	2wvgB1.pdb1	4203.6
2wvgA1.pdb1	2wvgF1.pdb1	1271.85
2wvgA1.pdb1	2wvgE1.pdb1	645.9
2wvgB1.pdb1	2wvgF1.pdb1	645.65
2wvgB1.pdb1	2wvgE1.pdb1	1285.05
2wvgF1.pdb1	2wvgE1.pdb1	4203.55
4wvtC1.pdb1	4wvtA1.pdb1	296.65
4wvmA1.pdb1	4wvmB1.pdb1	2862.5
3wv0B1.pdb2	3wv0Y1.pdb2	211.35
1wvtC1.pdb1	1wvtB1.pdb1	769.15
1wvtC1.pdb1	1wvtA1.pdb1	761.8
1wvtB1.pdb1	1wvtA1.pdb1	822.65
