6go5A1.pdb1	6go5H1.pdb1	647.05
6go5F1.pdb1	6go5H1.pdb1	284.75
6go5G1.pdb1	6go5H1.pdb1	243.75
4gokC1.pdb2	4gokA1.pdb2	699.0
2go7A1.pdb5	2go7B1.pdb5	1099.1
5govA1.pdb1	5govB1.pdb1	235.5
5gokA1.pdb1	5gokA3.pdb1	261.2
5gokA2.pdb1	5gokA3.pdb1	261.2
4go6A1.pdb2	4go6D1.pdb2	75.95
4go6A1.pdb2	4go6B1.pdb2	2356.05
4go6D1.pdb2	4go6B1.pdb2	1071.0
4go6D1.pdb2	4go6C1.pdb2	2016.05
4go6B1.pdb2	4go6C1.pdb2	230.25
4go4E1.pdb3	4go4F1.pdb3	3235.45
3goxC1.pdb1	3goxA1.pdb1	417.4
3goxC1.pdb1	3goxD1.pdb1	452.55
3goxC1.pdb1	3goxB1.pdb1	815.25
3goxA1.pdb1	3goxD1.pdb1	819.95
3goxA1.pdb1	3goxB1.pdb1	2690.9
3goxD1.pdb1	3goxB1.pdb1	429.85
5gojA1.pdb1	5gojA2.pdb1	61.75
3gobC1.pdb1	3gobB1.pdb1	1100.05
3gobC1.pdb1	3gobA1.pdb1	1107.65
3gobB1.pdb1	3gobA1.pdb1	1119.45
6goaC1.pdb2	6goaB1.pdb2	764.25
2gojA1.pdb1	2gojB1.pdb1	941.6
2go591.pdb1	2go561.pdb1	686.65
2go521.pdb1	2go5A1.pdb1	12.9
2go521.pdb1	2go511.pdb1	928.7
2go521.pdb1	2go561.pdb1	125.4
2go5B1.pdb1	2go5A1.pdb1	957.35
2go5B1.pdb1	2go5W1.pdb1	117.75
2go541.pdb1	2go551.pdb1	326.6
2go5A1.pdb1	2go511.pdb1	259.35
2go5A1.pdb1	2go5W1.pdb1	621.9
1go3M1.pdb2	1go3N1.pdb2	1881.7
3gojB1.pdb1	3gojA2.pdb1	220.3
3gojB1.pdb1	3gojA1.pdb1	329.55
3gojB1.pdb1	3gojB2.pdb1	95.5
3gojA2.pdb1	3gojA1.pdb1	226.0
3gojA2.pdb1	3gojB2.pdb1	329.55
3gojA1.pdb1	3gojB2.pdb1	220.3
3go7B2.pdb2	3go7A2.pdb2	453.4
3go7B2.pdb2	3go7B1.pdb2	138.8
3go7B2.pdb2	3go7A1.pdb2	1357.0
3go7A2.pdb2	3go7B1.pdb2	1357.0
3go7A2.pdb2	3go7A1.pdb2	56.0
3go7B1.pdb2	3go7A1.pdb2	453.4
1goxA8.pdb2	1goxA2.pdb2	376.6
1goxA8.pdb2	1goxA5.pdb2	1458.2
1goxA8.pdb2	1goxA6.pdb2	1458.2
1goxA8.pdb2	1goxA3.pdb2	101.2
1goxA2.pdb2	1goxA4.pdb2	1458.2
1goxA2.pdb2	1goxA6.pdb2	101.2
1goxA2.pdb2	1goxA3.pdb2	1458.2
1goxA4.pdb2	1goxA7.pdb2	101.2
1goxA4.pdb2	1goxA1.pdb2	1458.2
1goxA4.pdb2	1goxA6.pdb2	376.6
1goxA7.pdb2	1goxA5.pdb2	1458.2
1goxA7.pdb2	1goxA1.pdb2	376.6
1goxA7.pdb2	1goxA6.pdb2	1458.2
1goxA5.pdb2	1goxA1.pdb2	101.2
