1uhdB1.pdb1	1uhdB4.pdb1	203.6
1uhdB1.pdb1	1uhdA1.pdb1	1648.95
1uhdA4.pdb1	1uhdB4.pdb1	1648.95
1uhdA4.pdb1	1uhdB2.pdb1	420.45
1uhdA4.pdb1	1uhdA1.pdb1	582.6
1uhdB3.pdb1	1uhdB2.pdb1	203.6
1uhdB3.pdb1	1uhdA1.pdb1	144.9
1uhdB4.pdb1	1uhdB2.pdb1	203.6
1uhdB4.pdb1	1uhdA1.pdb1	420.45
3uhkC1.pdb2	3uhkD1.pdb2	891.55
4uhpH1.pdb2	4uhpG1.pdb2	862.0
4uhmA2.pdb1	4uhmA1.pdb1	5779.15
4uh8B1.pdb1	4uh8A1.pdb1	2817.2
4uhiB1.pdb1	4uhiC1.pdb1	255.0
4uhiB1.pdb1	4uhiA1.pdb1	1080.5
4uhiB1.pdb1	4uhiD1.pdb1	340.75
4uhiC1.pdb1	4uhiA1.pdb1	147.65
4uhiC1.pdb1	4uhiD1.pdb1	1054.45
4uhiA1.pdb1	4uhiD1.pdb1	295.9
5uhtA1.pdb1	5uhtC1.pdb1	1685.25
5uhtA1.pdb1	5uhtB1.pdb1	801.25
5uhtA1.pdb1	5uhtD1.pdb1	116.65
5uhtC1.pdb1	5uhtB1.pdb1	185.25
5uhtC1.pdb1	5uhtD1.pdb1	796.95
5uh7A1.pdb1	5uh7B1.pdb1	307.65
4uh6B1.pdb1	4uh6A1.pdb1	2705.45
3uhaA2.pdb3	3uhaB2.pdb3	670.1
3uhaA2.pdb3	3uhaA1.pdb3	259.65
3uhaB2.pdb3	3uhaB1.pdb3	266.65
3uhaB2.pdb3	3uhaA1.pdb3	323.8
3uhaB1.pdb3	3uhaA1.pdb3	670.1
3uhjD1.pdb4	3uhjC1.pdb4	1389.5
4uhwA1.pdb1	4uhwA2.pdb1	2627.5
5uhpE1.pdb2	5uhpC1.pdb2	1011.55
5uhpE1.pdb2	5uhpH1.pdb2	1238.6
5uhpE1.pdb2	5uhpD1.pdb2	1256.2
5uhpC1.pdb2	5uhpH1.pdb2	1249.25
5uhpH1.pdb2	5uhpD1.pdb2	1043.5
4uhkB1.pdb1	4uhkC1.pdb1	1373.15
3uhhB1.pdb1	3uhhA1.pdb1	873.1
5uhqB1.pdb1	5uhqA1.pdb1	1628.85
3uh5B1.pdb1	3uh5A1.pdb1	875.2
1uh1H2.pdb2	1uh1F2.pdb2	35.5
1uh1H2.pdb2	1uh1E2.pdb2	406.4
1uh1H2.pdb2	1uh1F1.pdb2	10.35
1uh1H2.pdb2	1uh1G2.pdb2	527.05
1uh1H2.pdb2	1uh1G1.pdb2	293.4
1uh1F2.pdb2	1uh1E2.pdb2	526.1
1uh1F2.pdb2	1uh1G2.pdb2	425.6
1uh1F2.pdb2	1uh1H1.pdb2	10.45
1uh1F2.pdb2	1uh1E1.pdb2	299.85
1uh1E2.pdb2	1uh1F1.pdb2	299.85
1uh1E2.pdb2	1uh1G2.pdb2	289.7
1uh1E2.pdb2	1uh1G1.pdb2	45.6
1uh1E2.pdb2	1uh1E1.pdb2	228.7
1uh1F1.pdb2	1uh1G1.pdb2	425.55
1uh1F1.pdb2	1uh1H1.pdb2	35.5
1uh1F1.pdb2	1uh1E1.pdb2	526.05
1uh1G2.pdb2	1uh1G1.pdb2	244.8
1uh1G2.pdb2	1uh1H1.pdb2	293.45
1uh1G2.pdb2	1uh1E1.pdb2	45.6
1uh1G1.pdb2	1uh1H1.pdb2	527.1
1uh1G1.pdb2	1uh1E1.pdb2	289.7
1uh1H1.pdb2	1uh1E1.pdb2	406.45
4uh7A1.pdb1	4uh7B1.pdb1	2769.2
3uhcB1.pdb1	3uhcA1.pdb1	875.4
5uhrD1.pdb1	5uhrC1.pdb1	263.2
5uhrD1.pdb1	5uhrB1.pdb1	97.0
5uhrD1.pdb1	5uhrA1.pdb1	213.25
5uhrC1.pdb1	5uhrB1.pdb1	163.9
5uhrC1.pdb1	5uhrA1.pdb1	88.45
5uhrB1.pdb1	5uhrA1.pdb1	246.75
1uheA2.pdb2	1uheA5.pdb2	183.4
1uheA2.pdb2	1uheA3.pdb2	685.75
1uheA2.pdb2	1uheB2.pdb2	1642.35
1uheA2.pdb2	1uheB5.pdb2	40.0
1uheA2.pdb2	1uheB4.pdb2	187.65
1uheA2.pdb2	1uheA4.pdb2	685.75
1uheA2.pdb2	1uheA8.pdb2	88.2
1uheA2.pdb2	1uheB3.pdb2	419.95
1uheA5.pdb2	1uheA3.pdb2	88.2
1uheA5.pdb2	1uheA7.pdb2	685.75
1uheA5.pdb2	1uheB2.pdb2	40.0
1uheA5.pdb2	1uheB5.pdb2	1642.35
1uheA5.pdb2	1uheB7.pdb2	187.65
1uheA5.pdb2	1uheB8.pdb2	419.95
1uheA5.pdb2	1uheA8.pdb2	685.75
1uheA3.pdb2	1uheA7.pdb2	183.4
1uheA3.pdb2	1uheB2.pdb2	187.65
1uheA3.pdb2	1uheB7.pdb2	40.0
1uheA3.pdb2	1uheA1.pdb2	685.75
1uheA3.pdb2	1uheB1.pdb2	419.95
1uheA3.pdb2	1uheB3.pdb2	1642.35
1uheA7.pdb2	1uheB5.pdb2	419.95
1uheA7.pdb2	1uheB7.pdb2	1642.35
1uheA7.pdb2	1uheA6.pdb2	685.75
1uheA7.pdb2	1uheB6.pdb2	187.65
1uheA7.pdb2	1uheA1.pdb2	88.2
1uheA7.pdb2	1uheB3.pdb2	40.0
1uheB2.pdb2	1uheB4.pdb2	199.55
1uheB2.pdb2	1uheA4.pdb2	419.95
1uheB2.pdb2	1uheB3.pdb2	199.55
1uheB5.pdb2	1uheB7.pdb2	199.55
1uheB5.pdb2	1uheB8.pdb2	199.55
1uheB5.pdb2	1uheA8.pdb2	187.65
1uheB4.pdb2	1uheA4.pdb2	1642.35
1uheB4.pdb2	1uheA1.pdb2	419.95
1uheB4.pdb2	1uheB1.pdb2	199.55
1uheB4.pdb2	1uheA8.pdb2	40.0
1uheB7.pdb2	1uheA6.pdb2	419.95
1uheB7.pdb2	1uheB6.pdb2	199.55
1uheA4.pdb2	1uheA6.pdb2	88.2
1uheA4.pdb2	1uheB8.pdb2	40.0
1uheA4.pdb2	1uheA1.pdb2	685.75
1uheA4.pdb2	1uheB1.pdb2	187.65
1uheA4.pdb2	1uheA8.pdb2	183.4
1uheA6.pdb2	1uheB6.pdb2	1642.35
1uheA6.pdb2	1uheB8.pdb2	187.65
1uheA6.pdb2	1uheA1.pdb2	183.4
1uheA6.pdb2	1uheB1.pdb2	40.0
1uheA6.pdb2	1uheA8.pdb2	685.75
1uheB6.pdb2	1uheB8.pdb2	199.55
1uheB6.pdb2	1uheA1.pdb2	40.0
1uheB6.pdb2	1uheA8.pdb2	419.95
1uheB8.pdb2	1uheA8.pdb2	1642.35
1uheA1.pdb2	1uheB1.pdb2	1642.35
1uheA1.pdb2	1uheB3.pdb2	187.65
1uheB1.pdb2	1uheB3.pdb2	199.55
1uhvD1.pdb1	1uhvC1.pdb1	1554.1
1uhvD1.pdb1	1uhvB1.pdb1	2559.4
1uhvD1.pdb1	1uhvA1.pdb1	160.05
1uhvC1.pdb1	1uhvB1.pdb1	158.2
1uhvC1.pdb1	1uhvA1.pdb1	2609.75
1uhvB1.pdb1	1uhvA1.pdb1	1562.35
